occupation_code	soc_code	occupation_text	display_level	selectable	sort_sequence
31P	190000	Life, Physical, and Social Science Occupations	0	T	136
31R	514031	Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic	1	T	733
31S	514032	Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic	1	T	734
31T	514033	Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic	1	T	735
31W	514041	Machinists	1	T	738
31X	514051	Metal-Refining Furnace Operators and Tenders	1	T	739
31Y	514052	Pourers and Casters, Metal	1	T	740
32D	514072	Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic	1	T	744
32F	514111	Tool and Die Makers	1	T	746
32L	514194	Tool Grinders, Filers, and Sharpeners	1	T	752
32P	210000	Community and Social Service Occupations	0	T	185
32R	516011	Laundry and Dry-Cleaning Workers	1	T	757
32U	516031	Sewing Machine Operators	1	T	759
33P	230000	Legal Occupations	0	T	204
33U	518031	Water and Wastewater Treatment Plant and System Operators	1	T	783
34H	519051	Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders	1	T	796
34I	519061	Inspectors, Testers, Sorters, Samplers, and Weighers	1	T	797
34P	250000	Educational Instruction and Library Occupations	0	T	213
35P	270000	Arts, Design, Entertainment, Sports, and Media Occupations	0	T	281
36P	290000	Healthcare Practitioners and Technical Occupations	0	T	323
37P	310000	Healthcare Support Occupations	0	T	396
38P	330000	Protective Service Occupations	0	T	415
39P	350000	Food Preparation and Serving Related Occupations	0	T	440
40P	370000	Building and Grounds Cleaning and Maintenance Occupations	0	T	458
41P	390000	Personal Care and Service Occupations	0	T	469
42P	410000	Sales and Related Occupations	0	T	503
43P	430000	Office and Administrative Support Occupations	0	T	526
44P	450000	Farming, Fishing, and Forestry Occupations	0	T	581
45P	470000	Construction and Extraction Occupations	0	T	596
46P	490000	Installation, Maintenance, and Repair Occupations	0	T	658
47P	510000	Production Occupations	0	T	710
48P	530000	Transportation and Material Moving Occupations	0	T	818
57L	519111	Packaging and Filling Machine Operators and Tenders	1	T	802
57N	519124	Coating, Painting, and Spraying Machine Setters, Operators, and Tenders	1	T	804
57Q	519161	Computer Numerically Controlled Tool Operators	1	T	807
57U	519193	Cooling and Freezing Equipment Operators and Tenders	1	T	811
57Y	519198	Helpers--Production Workers	1	T	816
58B	531042	First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand	1	T	820
58C	531043	First-Line Supervisors of Material-Moving Machine and Vehicle Operators	1	T	821
58M	533032	Heavy and Tractor-Trailer Truck Drivers	1	T	831
58N	533033	Light Truck Drivers	1	T	832
58O	533051	Bus Drivers, School	1	T	833
58P	533052	Bus Drivers, Transit and Intercity	1	T	834
59O	537051	Industrial Truck and Tractor Operators	1	T	860
59P	537061	Cleaners of Vehicles and Equipment	1	T	861
59Q	537062	Laborers and Freight, Stock, and Material Movers, Hand	1	T	862
59S	537064	Packers and Packagers, Hand	1	T	864
59T	537065	Stockers and Order Fillers	1	T	865
