occupation_code	occupation_name	display_level	selectable	sort_sequence
251043	Forestry and Conservation Science Teachers, Postsecondary	3	T	259
251050	Physical Sciences Teachers, Postsecondary	2	T	260
251051	Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary	3	T	261
251052	Chemistry Teachers, Postsecondary	3	T	262
251053	Environmental Science Teachers, Postsecondary	3	T	263
251054	Physics Teachers, Postsecondary	3	T	264
251060	Social Sciences Teachers, Postsecondary	2	T	265
251061	Anthropology and Archeology Teachers, Postsecondary	3	T	266
251062	Area, Ethnic, and Cultural Studies Teachers, Postsecondary	3	T	267
251063	Economics Teachers, Postsecondary	3	T	268
251064	Geography Teachers, Postsecondary	3	T	269
251065	Political Science Teachers, Postsecondary	3	T	270
251066	Psychology Teachers, Postsecondary	3	T	271
251067	Sociology Teachers, Postsecondary	3	T	272
251069	Social Sciences Teachers, Postsecondary, All Other	3	T	273
251070	Health Teachers, Postsecondary	2	T	274
251071	Health Specialties Teachers, Postsecondary	3	T	275
251072	Nursing Instructors and Teachers, Postsecondary	3	T	276
251080	Education and Library Science Teachers, Postsecondary	2	T	277
251081	Education Teachers, Postsecondary	3	T	278
251082	Library Science Teachers, Postsecondary	3	T	279
251110	Law, Criminal Justice, and Social Work Teachers, Postsecondary	2	T	280
251111	Criminal Justice and Law Enforcement Teachers, Postsecondary	3	T	281
251112	Law Teachers, Postsecondary	3	T	282
251113	Social Work Teachers, Postsecondary	3	T	283
251120	Arts, Communications, History, and Humanities Teachers, Postsecondary	2	T	284
251121	Art, Drama, and Music Teachers, Postsecondary	3	T	285
251122	Communications Teachers, Postsecondary	3	T	286
251123	English Language and Literature Teachers, Postsecondary	3	T	287
251124	Foreign Language and Literature Teachers, Postsecondary	3	T	288
251125	History Teachers, Postsecondary	3	T	289
251126	Philosophy and Religion Teachers, Postsecondary	3	T	290
251190	Miscellaneous Postsecondary Teachers	2	T	291
251192	Family and Consumer Sciences Teachers, Postsecondary	3	T	292
251193	Recreation and Fitness Studies Teachers, Postsecondary	3	T	293
251194	Career/Technical Education Teachers, Postsecondary	3	T	294
251199	Postsecondary Teachers, All Other	3	T	295
252000	Preschool, Elementary, Middle, Secondary, and Special Education Teachers	1	T	296
252010	Preschool and Kindergarten Teachers	2	T	297
252011	Preschool Teachers, Except Special Education	3	T	298
252012	Kindergarten Teachers, Except Special Education	3	T	299
252020	Elementary and Middle School Teachers	2	T	300
252021	Elementary School Teachers, Except Special Education	3	T	301
252022	Middle School Teachers, Except Special and Career/Technical Education	3	T	302
252023	Career/Technical Education Teachers, Middle School	3	T	303
252030	Secondary School Teachers	2	T	304
252031	Secondary School Teachers, Except Special and Career/Technical Education	3	T	305
252032	Career/Technical Education Teachers, Secondary School	3	T	306
252050	Special Education Teachers	2	T	307
252051	Special Education Teachers, Preschool	3	T	308
252052	Special Education Teachers, Kindergarten and Elementary School	3	T	309
252057	Special Education Teachers, Middle School	3	T	310
252058	Special Education Teachers, Secondary School	3	T	311
252059	Special Education Teachers, All Other	3	T	312
253000	Other Teachers and Instructors	1	T	313
253011	Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors	3	T	314
253021	Self-Enrichment Teachers	3	T	315
253031	Substitute Teachers, Short-Term	3	T	316
253097	Tutors and Teachers and Instructors, All Other	3	T	317
254000	Librarians, Curators, and Archivists	1	T	318
254010	Archivists, Curators, and Museum Technicians	2	T	319
254011	Archivists	3	T	320
254012	Curators	3	T	321
254013	Museum Technicians and Conservators	3	T	322
254022	Librarians and Media Collections Specialists	3	T	323
254031	Library Technicians	3	T	324
259000	Other Educational Instruction and Library Occupations	1	T	325
259021	Farm and Home Management Educators	3	T	326
259031	Instructional Coordinators	3	T	327
259040	Teaching Assistants	2	T	328
259044	Teaching Assistants, Postsecondary	3	T	329
259045	Teaching Assistants, Except Postsecondary	3	T	330
259099	Educational Instruction and Library Workers, All Other	3	T	331
270000	Arts, Design, Entertainment, Sports, and Media Occupations	0	T	332
271000	Art and Design Workers	1	T	333
271010	Artists and Related Workers	2	T	334
271011	Art Directors	3	T	335
271012	Craft Artists	3	T	336
271013	Fine Artists, Including Painters, Sculptors, and Illustrators	3	T	337
271014	Special Effects Artists and Animators	3	T	338
271019	Artists and Related Workers, All Other	3	T	339
271020	Designers	2	T	340
271021	Commercial and Industrial Designers	3	T	341
271022	Fashion Designers	3	T	342
271023	Floral Designers	3	T	343
271024	Graphic Designers	3	T	344
271025	Interior Designers	3	T	345
271026	Merchandise Displayers and Window Trimmers	3	T	346
271027	Set and Exhibit Designers	3	T	347
271029	Designers, All Other	3	T	348
272000	Entertainers and Performers, Sports and Related Workers	1	T	349
272010	Actors, Producers, and Directors	2	T	350
272011	Actors	3	T	351
272012	Producers and Directors	3	T	352
272020	Athletes, Coaches, Umpires, and Related Workers	2	T	353
272021	Athletes and Sports Competitors	3	T	354
272022	Coaches and Scouts	3	T	355
272023	Umpires, Referees, and Other Sports Officials	3	T	356
272030	Dancers and Choreographers	2	T	357
272031	Dancers	3	T	358
272032	Choreographers	3	T	359
272040	Musicians, Singers, and Related Workers	2	T	360
272041	Music Directors and Composers	3	T	361
272042	Musicians and Singers	3	T	362
272090	Miscellaneous Entertainers and Performers, Sports and Related Workers	2	T	363
273000	Media and Communication Workers	1	T	364
273011	Broadcast Announcers and Radio Disc Jockeys	3	T	365
273023	News Analysts, Reporters, and Journalists	3	T	366
273031	Public Relations Specialists	3	T	367
273040	Writers and Editors	2	T	368
273041	Editors	3	T	369
273042	Technical Writers	3	T	370
273043	Writers and Authors	3	T	371
273090	Miscellaneous Media and Communication Workers	2	T	372
273091	Interpreters and Translators	3	T	373
273092	Court Reporters and Simultaneous Captioners	3	T	374
273099	Media and Communication Workers, All Other	3	T	375
274000	Media and Communication Equipment Workers	1	T	376
274011	Audio and Video Technicians	3	T	377
274012	Broadcast Technicians	3	T	378
274014	Sound Engineering Technicians	3	T	379
274021	Photographers	3	T	380
274030	Television, Video, and Film Camera Operators and Editors	2	T	381
274031	Camera Operators, Television, Video, and Film	3	T	382
274032	Film and Video Editors	3	T	383
274098	Lighting Technicians and Media and Communication Equipment Workers, All Other	3	T	384
290000	Healthcare Practitioners and Technical Occupations	0	T	385
291000	Healthcare Diagnosing or Treating Practitioners	1	T	386
291011	Chiropractors	3	T	387
291020	Dentists	2	T	388
291021	Dentists, General	3	T	389
291022	Oral and Maxillofacial Surgeons	3	T	390
291023	Orthodontists	3	T	391
291024	Prosthodontists	3	T	392
291029	Dentists, All Other Specialists	3	T	393
291031	Dietitians and Nutritionists	3	T	394
291041	Optometrists	3	T	395
291051	Pharmacists	3	T	396
291071	Physician Assistants	3	T	397
291081	Podiatrists	3	T	398
291120	Therapists	2	T	399
291122	Occupational Therapists	3	T	400
291123	Physical Therapists	3	T	401
291124	Radiation Therapists	3	T	402
291125	Recreational Therapists	3	T	403
291126	Respiratory Therapists	3	T	404
291127	Speech-Language Pathologists	3	T	405
291128	Exercise Physiologists	3	T	406
291129	Therapists, All Other	3	T	407
291131	Veterinarians	3	T	408
291141	Registered Nurses	3	T	409
291151	Nurse Anesthetists	3	T	410
291161	Nurse Midwives	3	T	411
291171	Nurse Practitioners	3	T	412
291181	Audiologists	3	T	413
291211	Anesthesiologists	3	T	414
291215	Family Medicine Physicians	3	T	415
291216	General Internal Medicine Physicians	3	T	416
291218	Obstetricians and Gynecologists	3	T	417
291221	Pediatricians, General	3	T	418
291223	Psychiatrists	3	T	419
291228	Physicians, All Other; and Ophthalmologists, Except Pediatric	3	T	420
291248	Surgeons, Except Ophthalmologists	3	T	421
291290	Miscellaneous Healthcare Diagnosing or Treating Practitioners	2	T	422
291292	Dental Hygienists	3	T	423
291298	Acupuncturists and Healthcare Diagnosing or Treating Practitioners, All Other	3	T	424
292000	Health Technologists and Technicians	1	T	425
292010	Clinical Laboratory Technologists and Technicians	2	T	426
292031	Cardiovascular Technologists and Technicians	3	T	427
292032	Diagnostic Medical Sonographers	3	T	428
292033	Nuclear Medicine Technologists	3	T	429
292034	Radiologic Technologists and Technicians	3	T	430
292035	Magnetic Resonance Imaging Technologists	3	T	431
292040	Emergency Medical Technicians and Paramedics	2	T	432
292050	Health Practitioner Support Technologists and Technicians	2	T	433
292051	Dietetic Technicians	3	T	434
292052	Pharmacy Technicians	3	T	435
292053	Psychiatric Technicians	3	T	436
292055	Surgical Technologists	3	T	437
292056	Veterinary Technologists and Technicians	3	T	438
292057	Ophthalmic Medical Technicians	3	T	439
292061	Licensed Practical and Licensed Vocational Nurses	3	T	440
292081	Opticians, Dispensing	3	T	441
292091	Orthotists and Prosthetists	3	T	443
292092	Hearing Aid Specialists	3	T	444
292098	Medical Dosimetrists and Records Specialists, and Health Technologists and Technicians, All Other	3	T	445
299000	Other Healthcare Practitioners and Technical Occupations	1	T	446
299091	Athletic Trainers	3	T	447
299092	Genetic Counselors	3	T	448
299098	Healthcare Technologists and Practitioners, Medical Registrars, and Surgical Assistants, All Other	3	T	449
310000	Healthcare Support Occupations	0	T	450
311100	Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides	2	T	451
311120	Home Health and Personal Care Aides	2	T	452
311130	Nursing Assistants, Orderlies, and Psychiatric Aides	2	T	453
311131	Nursing Assistants	3	T	454
311132	Orderlies	3	T	455
311133	Psychiatric Aides	3	T	456
312000	Occupational Therapy and Physical Therapist Assistants and Aides	1	T	457
312010	Occupational Therapy Assistants and Aides	2	T	458
312011	Occupational Therapy Assistants	3	T	459
312012	Occupational Therapy Aides	3	T	460
312020	Physical Therapist Assistants and Aides	2	T	461
312021	Physical Therapist Assistants	3	T	462
312022	Physical Therapist Aides	3	T	463
319000	Other Healthcare Support Occupations	1	T	464
319011	Massage Therapists	3	T	465
319090	Miscellaneous Healthcare Support Occupations	2	T	466
319091	Dental Assistants	3	T	467
319092	Medical Assistants	3	T	468
319093	Medical Equipment Preparers	3	T	469
319094	Medical Transcriptionists	3	T	470
319095	Pharmacy Aides	3	T	471
319096	Veterinary Assistants and Laboratory Animal Caretakers	3	T	472
319097	Phlebotomists	3	T	473
319099	Healthcare Support Workers, All Other	3	T	474
330000	Protective Service Occupations	0	T	475
331000	Supervisors of Protective Service Workers	1	T	476
331010	First-Line Supervisors of Law Enforcement Workers	2	T	477
331011	First-Line Supervisors of Correctional Officers	3	T	478
331012	First-Line Supervisors of Police and Detectives	3	T	479
331021	First-Line Supervisors of Firefighting and Prevention Workers	3	T	480
331090	Miscellaneous First-Line Supervisors, Protective Service Workers	2	T	481
332000	Firefighting and Prevention Workers	1	T	482
332011	Firefighters	3	T	483
332020	Fire Inspectors	2	T	484
332021	Fire Inspectors and Investigators	3	T	485
332022	Forest Fire Inspectors and Prevention Specialists	3	T	486
333000	Law Enforcement Workers	1	T	487
333010	Bailiffs, Correctional Officers, and Jailers	2	T	488
333011	Bailiffs	3	T	489
333012	Correctional Officers and Jailers	3	T	490
333021	Detectives and Criminal Investigators	3	T	491
333031	Fish and Game Wardens	3	T	492
333041	Parking Enforcement Workers	3	T	493
333050	Police Officers	2	T	494
333051	Police and Sheriff's Patrol Officers	3	T	495
333052	Transit and Railroad Police	3	T	496
339000	Other Protective Service Workers	1	T	497
339011	Animal Control Workers	3	T	498
339021	Private Detectives and Investigators	3	T	499
339030	Security Guards and Gambling Surveillance Officers	2	T	500
339031	Gaming Surveillance Officers and Gambling Investigators	3	T	501
339032	Security Guards	3	T	502
339090	Miscellaneous Protective Service Workers	2	T	503
339091	Crossing Guards and Flaggers	3	T	504
339092	Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers	3	T	505
339093	Transportation Security Screeners	3	T	506
339098	School Bus Monitors and Protective Service Workers, All Other	3	T	507
350000	Food Preparation and Serving Related Occupations	0	T	508
351010	Supervisors of Food Preparation and Serving Workers	2	T	509
351011	Chefs and Head Cooks	3	T	510
351012	First-Line Supervisors of Food Preparation and Serving Workers	3	T	511
352000	Cooks and Food Preparation Workers	1	T	512
352010	Cooks	2	T	513
352011	Cooks, Fast Food	3	T	514
352012	Cooks, Institution and Cafeteria	3	T	515
352013	Cooks, Private Household	3	T	516
352014	Cooks, Restaurant	3	T	517
352015	Cooks, Short Order	3	T	518
352019	Cooks, All Other	3	T	519
352021	Food Preparation Workers	3	T	520
353000	Food and Beverage Serving Workers	1	T	521
353011	Bartenders	3	T	522
353023	Fast Food and Counter Workers	3	T	523
353031	Waiters and Waitresses	3	T	524
353041	Food Servers, Nonrestaurant	3	T	525
359000	Other Food Preparation and Serving Related Workers	1	T	526
359011	Dining Room and Cafeteria Attendants and Bartender Helpers	3	T	527
359021	Dishwashers	3	T	528
359031	Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop	3	T	529
359099	Food Preparation and Serving Related Workers, All Other	3	T	530
370000	Building and Grounds Cleaning and Maintenance Occupations	0	T	531
371010	First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers	2	T	532
371011	First-Line Supervisors of Housekeeping and Janitorial Workers	3	T	533
371012	First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers	3	T	534
372000	Building Cleaning and Pest Control Workers	1	T	535
372010	Building Cleaning Workers	2	T	536
372011	Janitors and Cleaners, Except Maids and Housekeeping Cleaners	3	T	537
372012	Maids and Housekeeping Cleaners	3	T	538
372019	Building Cleaning Workers, All Other	3	T	539
372021	Pest Control Workers	3	T	540
373010	Grounds Maintenance Workers	2	T	541
373011	Landscaping and Groundskeeping Workers	3	T	542
373012	Pesticide Handlers, Sprayers, and Applicators, Vegetation	3	T	543
373013	Tree Trimmers and Pruners	3	T	544
373019	Grounds Maintenance Workers, All Other	3	T	545
390000	Personal Care and Service Occupations	0	T	546
391000	Supervisors of Personal Care and Service Workers	1	T	547
391013	First-Line Supervisors of Gambling Services Workers	3	T	548
391098	First-Line Supervisors of Personal Service and Entertainment Workers, Except Gambling Services	3	T	549
392000	Animal Care and Service Workers	1	T	550
392011	Animal Trainers	3	T	551
392021	Animal Caretakers	3	T	552
393000	Entertainment Attendants and Related Workers	1	T	553
393010	Gambling Services Workers	2	T	554
393011	Gambling Dealers	3	T	555
393012	Gambling and Sports Book Writers and Runners	3	T	556
393019	Gambling Service Workers, All Other	3	T	557
393021	Motion Picture Projectionists	3	T	558
393031	Ushers, Lobby Attendants, and Ticket Takers	3	T	559
393090	Miscellaneous Entertainment Attendants and Related Workers	2	T	560
393091	Amusement and Recreation Attendants	3	T	561
393092	Costume Attendants	3	T	562
393093	Locker Room, Coatroom, and Dressing Room Attendants	3	T	563
393099	Entertainment Attendants and Related Workers, All Other	3	T	564
394011	Embalmers	3	T	566
394021	Funeral Attendants	3	T	567
394031	Morticians, Undertakers, and Funeral Arrangers	3	T	568
395000	Personal Appearance Workers	1	T	569
395010	Barbers, Hairdressers, Hairstylists and Cosmetologists	2	T	570
395011	Barbers	3	T	571
395012	Hairdressers, Hairstylists, and Cosmetologists	3	T	572
395090	Miscellaneous Personal Appearance Workers	2	T	573
395091	Makeup Artists, Theatrical and Performance	3	T	574
395092	Manicurists and Pedicurists	3	T	575
395093	Shampooers	3	T	576
395094	Skincare Specialists	3	T	577
396010	Baggage Porters, Bellhops, and Concierges	2	T	578
396011	Baggage Porters and Bellhops	3	T	579
396012	Concierges	3	T	580
397010	Tour and Travel Guides	2	T	581
399011	Childcare Workers	3	T	582
399030	Recreation and Fitness Workers	2	T	583
399031	Exercise Trainers and Group Fitness Instructors	3	T	584
399032	Recreation Workers	3	T	585
399041	Residential Advisors	3	T	586
399098	Crematory Operators and Personal Care and Service Workers, All Other	3	T	587
410000	Sales and Related Occupations	0	T	588
411010	First-Line Supervisors of Sales Workers	2	T	589
411011	First-Line Supervisors of Retail Sales Workers	3	T	590
411012	First-Line Supervisors of Non-Retail Sales Workers	3	T	591
412000	Retail Sales Workers	1	T	592
412010	Cashiers	2	T	593
412011	Cashiers	3	T	594
412012	Gambling Change Persons and Booth Cashiers	3	T	595
412020	Counter and Rental Clerks and Parts Salespersons	2	T	596
412021	Counter and Rental Clerks	3	T	597
412022	Parts Salespersons	3	T	598
412031	Retail Salespersons	3	T	599
413000	Sales Representatives, Services	1	T	600
413011	Advertising Sales Agents	3	T	601
413021	Insurance Sales Agents	3	T	602
413031	Securities, Commodities, and Financial Services Sales Agents	3	T	603
413041	Travel Agents	3	T	604
