industry_code	industry_name	display_level	selectable	sort_sequence
4240A1	Merchant Wholesalers, Nondurable Goods (4244 and 4248 only)	4	T	154
4240A2	Merchant Wholesalers, Nondurable Goods (4242 and 4246 only)	4	T	155
4240A3	Merchant Wholesalers, Nondurable Goods (4241, 4247, and 4249 only)	4	T	156
424300	Apparel, Piece Goods, and Notions Merchant Wholesalers	4	T	157
424500	Farm Product Raw Material Merchant Wholesalers	4	T	158
425000	Wholesale Electronic Markets and Agents and Brokers	3	T	159
425100	Wholesale Electronic Markets and Agents and Brokers	4	T	160
44--46	Sectors 44 and 45 - Retail Trade	2	T	161
441000	Motor Vehicle and Parts Dealers	3	T	162
441100	Automobile Dealers	4	T	163
441200	Other Motor Vehicle Dealers	4	T	164
441300	Automotive Parts, Accessories, and Tire Stores	4	T	165
442000	Furniture and Home Furnishings Stores	3	T	166
442100	Furniture Stores	4	T	167
442200	Home Furnishings Stores	4	T	168
443000	Electronics and Appliance Stores	3	T	169
443100	Electronics and Appliance Stores	4	T	170
444000	Building Material and Garden Equipment and Supplies Dealers	3	T	171
444100	Building Material and Supplies Dealers	4	T	172
444200	Lawn and Garden Equipment and Supplies Stores	4	T	173
445000	Food and Beverage Stores	3	T	174
4450A1	Food and Beverage Stores (4451 and 4452 only)	4	T	175
445300	Beer, Wine, and Liquor Stores	4	T	176
446000	Health and Personal Care Stores	3	T	177
446100	Health and Personal Care Stores	4	T	178
446110	Pharmacies and Drug Stores	5	T	179
447000	Gasoline Stations	3	T	180
447100	Gasoline Stations	4	T	181
448000	Clothing and Clothing Accessories Stores	3	T	182
448100	Clothing Stores	4	T	183
448200	Shoe Stores	4	T	184
448300	Jewelry, Luggage, and Leather Goods Stores	4	T	185
451000	Sporting Goods, Hobby, Musical Instrument, and Book Stores	3	T	186
451100	Sporting Goods, Hobby, and Musical Instrument Stores	4	T	187
451110	Sporting Goods Stores	5	T	188
451200	Book Stores and News Dealers	4	T	189
452000	General Merchandise Stores	3	T	190
453000	Miscellaneous Store Retailers	3	T	191
4530A1	Miscellaneous Store Retailers (4532 and 4533 only)	4	T	193
453100	Florists	4	T	192
453900	Other Miscellaneous Store Retailers	4	T	194
454000	Nonstore Retailers	3	T	195
454100	Electronic Shopping and Mail-Order Houses	4	T	196
454200	Vending Machine Operators	4	T	197
454300	Direct Selling Establishments	4	T	198
48--50	Sectors 48 and 49 - Transportation and Warehousing	2	T	199
481000	Air Transportation	3	T	200
481100	Scheduled Air Transportation	4	T	201
481200	Nonscheduled Air Transportation	4	T	202
482000	Rail Transportation	3	T	203
482100	Rail Transportation	4	T	204
483000	Water Transportation	3	T	205
483100	Deep Sea, Coastal, and Great Lakes Water Transportation	4	T	206
483200	Inland Water Transportation	4	T	207
484000	Truck Transportation	3	T	208
485000	Transit and Ground Passenger Transportation	3	T	209
485100	Urban Transit Systems	4	T	210
485200	Interurban and Rural Bus Transportation	4	T	211
485300	Taxi and Limousine Service	4	T	212
485400	School and Employee Bus Transportation	4	T	213
485500	Charter Bus Industry	4	T	214
485900	Other Transit and Ground Passenger Transportation	4	T	215
486000	Pipeline Transportation	3	T	216
486100	Pipeline Transportation of Crude Oil	4	T	217
486200	Pipeline Transportation of Natural Gas	4	T	218
486900	Other Pipeline Transportation	4	T	219
487000	Scenic and Sightseeing Transportation	3	T	220
487100	Scenic and Sightseeing Transportation, Land	4	T	221
487200	Scenic and Sightseeing Transportation, Water	4	T	222
487900	Scenic and Sightseeing Transportation, Other	4	T	223
488000	Support Activities for Transportation	3	T	224
488100	Support Activities for Air Transportation	4	T	225
488200	Support Activities for Rail Transportation	4	T	226
488300	Support Activities for Water Transportation	4	T	227
488400	Support Activities for Road Transportation	4	T	228
488500	Freight Transportation Arrangement	4	T	229
488900	Other Support Activities for Transportation	4	T	230
491000	Postal Service (federal government)	3	T	231
491100	Postal Service (federal government)	4	T	232
492000	Couriers and Messengers	3	T	233
492100	Couriers and Express Delivery Services	4	T	234
492200	Local Messengers and Local Delivery	4	T	235
493000	Warehousing and Storage	3	T	236
493100	Warehousing and Storage	4	T	237
51--52	Sector 51 - Information	2	T	238
511000	Publishing Industries (except Internet)	3	T	239
511100	Newspaper, Periodical, Book, and Directory Publishers	4	T	240
511110	Newspaper Publishers	5	T	241
511200	Software Publishers	4	T	242
512000	Motion Picture and Sound Recording Industries	3	T	243
512100	Motion Picture and Video Industries	4	T	244
512130	Motion Picture and Video Exhibition	5	T	245
512200	Sound Recording Industries	4	T	246
515000	Broadcasting (except Internet)	3	T	247
515100	Radio and Television Broadcasting	4	T	248
515110	Radio Broadcasting	5	T	249
515120	Television Broadcasting	5	T	250
515200	Cable and Other Subscription Programming	4	T	251
517000	Telecommunications	3	T	252
518000	Data Processing, Hosting, and Related Services	3	T	253
518200	Data Processing, Hosting, and Related Services	4	T	254
519000	Other Information Services	3	T	255
519100	Other Information Services	4	T	256
52--53	Sector 52 - Finance and Insurance	2	T	257
521000	Monetary Authorities-Central Bank	3	T	258
521100	Monetary Authorities-Central Bank	4	T	259
522000	Credit Intermediation and Related Activities	3	T	260
5220A1	Credit Intermediation and Related Activities (5221 and 5223 only)	4	T	261
522200	Nondepository Credit Intermediation	4	T	262
522290	Other Nondepository Credit Intermediation	5	T	263
523000	Securities, Commodity Contracts, and Other Financial Investments and Related Activities	3	T	264
524000	Insurance Carriers and Related Activities	3	T	265
524100	Insurance Carriers	4	T	266
524114	Direct Health and Medical Insurance Carriers	6	T	267
524120	Direct Insurance (except Life, Health, and Medical) Carriers	5	T	268
524200	Agencies, Brokerages, and Other Insurance Related Activities	4	T	269
524210	Insurance Agencies and Brokerages	5	T	270
524290	Other Insurance Related Activities	5	T	271
525000	Funds, Trusts, and Other Financial Vehicles	3	T	272
525100	Insurance and Employee Benefit Funds	4	T	273
525900	Other Investment Pools and Funds	4	T	274
53--54	Sector 53 - Real Estate and Rental and Leasing	2	T	275
531000	Real Estate	3	T	276
532000	Rental and Leasing Services	3	T	277
5320A1	Rental and Leasing Services (5322, 5323, and 5324 only)	4	T	279
532100	Automotive Equipment Rental and Leasing	4	T	278
533000	Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)	3	T	280
533100	Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)	4	T	281
54--55	Sector 54 - Professional, Scientific, and Technical Services	2	T	282
541000	Professional, Scientific, and Technical Services	3	T	283
541100	Legal Services	4	T	284
541200	Accounting, Tax Preparation, Bookkeeping, and Payroll Services	4	T	285
541300	Architectural, Engineering, and Related Services	4	T	286
541330	Engineering Services	5	T	287
541380	Testing Laboratories	5	T	288
541400	Specialized Design Services	4	T	289
541500	Computer Systems Design and Related Services	4	T	290
541600	Management, Scientific, and Technical Consulting Services	4	T	291
541700	Scientific Research and Development Services	4	T	292
541710	Research and Development in the Physical, Engineering, and Life Sciences	5	T	293
541720	Research and Development in the Social Sciences and Humanities	5	T	294
541800	Advertising, Public Relations, and Related Services	4	T	295
541900	Other Professional, Scientific, and Technical Services	4	T	296
541920	Photographic Services	5	T	297
541940	Veterinary Services	5	T	298
55--56	Sector 55 - Management of Companies and Enterprises	2	T	299
551000	Management of Companies and Enterprises	3	T	300
551100	Management of Companies and Enterprises	4	T	301
56--57	Sector 56- Administrative and Support and Waste Management and Remediation Services	2	T	302
561000	Administrative and Support Services	3	T	303
561100	Office Administrative Services	4	T	304
561200	Facilities Support Services	4	T	305
561300	Employment Services	4	T	306
561320	Temporary Help Services	5	T	307
561400	Business Support Services	4	T	308
561500	Travel Arrangement and Reservation Services	4	T	309
561600	Investigation and Security Services	4	T	310
561610	Investigation, Guard, and Armored Car Services	5	T	311
561620	Security Systems Services	5	T	312
561700	Services to Buildings and Dwellings	4	T	313
561710	Exterminating and Pest Control Services	5	T	314
561730	Landscaping Services	5	T	315
561900	Other Support Services	4	T	316
562000	Waste Management and Remediation Services	3	T	317
562100	Waste Collection	4	T	318
562200	Waste Treatment and Disposal	4	T	319
562900	Remediation and Other Waste Management Services	4	T	320
61--62	Sector 61 - Educational Services	2	T	321
611000	Educational Services	3	T	322
611002	Educational Services - State government owned	4	T	323
611003	Educational Services - Local government owned	4	T	324
611005	Educational Services - Privately owned	4	T	325
611100	Elementary and Secondary Schools	4	T	326
611102	Elementary and Secondary Schools - State government owned	4	T	327
611103	Elementary and Secondary Schools - Local government owned	4	T	328
611105	Elementary and Secondary Schools - Privately owned	4	T	329
611200	Junior Colleges (including private, state, and local government schools)	4	T	330
611202	Junior colleges - State government owned	4	T	331
611203	Junior colleges - Local government owned	4	T	332
611205	Junior colleges - Privately owned	4	T	333
611300	Colleges, Universities, and Professional Schools	4	T	334
611302	Colleges, universities, and professional schools - State government owned	4	T	335
611303	Colleges, universities, and professional schools - Local government owned	4	T	336
611305	Colleges, universities, and professional schools - Privately owned	4	T	337
611400	Business Schools and Computer and Management Training	4	T	338
611405	Business schools and computer and management training - Privately owned	4	T	339
611500	Technical and Trade Schools	4	T	340
611502	Technical and trade schools - State government owned	4	T	341
611503	Technical and trade schools - Local government owned	4	T	342
611505	Technical and trade schools - Privately owned	4	T	343
611600	Other Schools and Instruction	4	T	344
611603	Other schools and instruction - Local government owned	4	T	345
611605	Other schools and instruction - Privately owned	4	T	346
611700	Educational Support Services	4	T	347
611703	Educational Support Services - Local government owned	4	T	348
611705	Educational Support Services - Privately owned	4	T	349
62--63	Sector 62 - Health Care and Social Assistance	2	T	350
621000	Ambulatory Health Care Services	3	T	351
621100	Offices of Physicians	4	T	352
621200	Offices of Dentists	4	T	353
621300	Offices of Other Health Practitioners	4	T	354
621310	Offices of Chiropractors	5	T	355
621320	Offices of Optometrists	5	T	356
621330	Offices of Mental Health Practitioners (except Physicians)	5	T	357
621340	Offices of Physical, Occupational and Speech Therapists, and Audiologists	5	T	358
621390	Offices of All Other Health Practitioners	5	T	359
621400	Outpatient Care Centers	4	T	360
621420	Outpatient Mental Health and Substance Abuse Centers	5	T	361
621500	Medical and Diagnostic Laboratories	4	T	362
621600	Home Health Care Services	4	T	363
621900	Other Ambulatory Health Care Services	4	T	364
621910	Ambulance Services	5	T	365
621990	All Other Ambulatory Health Care Services	5	T	366
622000	Hospitals (including private, state, and local government hospitals)	3	T	367
622002	Hospitals - State government owned	4	T	368
622003	Hospitals - Local government owned	4	T	369
622005	Hospitals - Privately owned	4	T	370
622100	General Medical and Surgical Hospitals	4	T	371
622102	General Medical and Surgical Hospitals - State government owned	4	T	372
622103	General Medical and Surgical Hospitals - Local government owned	4	T	373
622105	General Medical and Surgical Hospitals - Privately owned	4	T	374
622200	Psychiatric and Substance Abuse Hospitals	4	T	375
622202	Psychiatric and Substance Abuse Hospitals - State government owned	4	T	376
622205	Psychiatric and Substance Abuse Hospitals - Privately owned	4	T	377
622300	Specialty (except Psychiatric and Substance Abuse) Hospitals	4	T	378
622302	Specialty hospitals - State government owned	4	T	379
622305	Specialty hospitals - Privately owned	4	T	380
623000	Nursing and Residential Care Facilities	3	T	381
623100	Nursing Care Facilities (Skilled Nursing Facilities)	4	T	382
623200	Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities	4	T	383
623210	Residential Intellectual and Developmental Disability Facilities	5	T	384
623220	Residential Mental Health and Substance Abuse Facilities	5	T	385
623300	Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly	4	T	386
623900	Other Residential Care Facilities	4	T	387
624000	Social Assistance	3	T	388
624100	Individual and Family Services	4	T	389
624120	Services for the Elderly and Persons with Disabilities	5	T	390
624200	Community Food and Housing, and Emergency and Other Relief Services	4	T	391
624300	Vocational Rehabilitation Services	4	T	392
624400	Child Day Care Services	4	T	393
71--72	Sector 71 - Arts, Entertainment, and Recreation	2	T	394
711000	Performing Arts, Spectator Sports, and Related Industries	3	T	395
711100	Performing Arts Companies	4	T	396
711110	Theater Companies and Dinner Theaters	5	T	397
711200	Spectator Sports	4	T	398
711300	Promoters of Performing Arts, Sports, and Similar Events	4	T	399
711400	Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures	4	T	400
711500	Independent Artists, Writers, and Performers	4	T	401
712000	Museums, Historical Sites, and Similar Institutions	3	T	402
712100	Museums, Historical Sites, and Similar Institutions	4	T	403
713000	Amusement, Gambling, and Recreation Industries	3	T	404
713100	Amusement Parks and Arcades	4	T	405
713200	Gambling Industries	4	T	406
713900	Other Amusement and Recreation Industries	4	T	407
713940	Fitness and Recreational Sports Centers	5	T	408
72--73	Sector 72 - Accommodation and Food Services	2	T	409
721000	Accommodation	3	T	410
721100	Traveler Accommodation	4	T	411
721120	Casino Hotels	5	T	412
721200	RV (Recreational Vehicle) Parks and Recreational Camps	4	T	413
721300	Rooming and Boarding Houses	4	T	414
722000	Food Services and Drinking Places	3	T	415
722300	Special Food Services	4	T	416
722400	Drinking Places (Alcoholic Beverages)	4	T	417
722500	Restaurants and Other Eating Places	4	T	418
722511	Full-Service Restaurants	6	T	419
81--82	Sector 81 - Other Services (except Federal, State, and Local Government)	2	T	420
811000	Repair and Maintenance	3	T	421
811100	Automotive Repair and Maintenance	4	T	422
811110	Automotive Mechanical and Electrical Repair and Maintenance	5	T	423
811120	Automotive Body, Paint, Interior, and Glass Repair	5	T	424
811190	Other Automotive Repair and Maintenance	5	T	425
811200	Electronic and Precision Equipment Repair and Maintenance	4	T	426
811300	Commercial and Industrial Machinery Equipment (except Auto and Electronic) Repair and Maintenance	4	T	427
811400	Personal and Household Goods Repair and Maintenance	4	T	428
812000	Personal and Laundry Services	3	T	429
812100	Personal Care Services	4	T	430
812200	Death Care Services	4	T	431
812300	Drycleaning and Laundry Services	4	T	432
812900	Other Personal Services	4	T	433
813000	Religious, Grantmaking, Civic, Professional, and Similar Organizations	3	T	434
813100	Religious Organizations	4	T	435
813200	Grantmaking and Giving Services	4	T	436
813300	Social Advocacy Organizations	4	T	437
813400	Civic and Social Organizations	4	T	438
813900	Business, Professional, Labor, Political, and Similar Organizations	4	T	439
813930	Labor Unions and Similar Labor Organizations	5	T	440
99-100	Sector 99 - Federal, State, and Local Government (OEWS Designation)	2	T	441
999000	Federal, State, and Local Government (OEWS Designation)	3	T	442
999001	Federal, State, and Local Government, including government owned schools and hospitals	1	T	443
999100	Federal Executive Branch (OEWS Designation)	3	T	444
999101	Federal government, including USPS	2	T	445
999200	State Government, excluding schools and hospitals (OEWS Designation)	3	T	446
999201	State Government, including schools and hospitals	2	T	447
999300	Local Government, excluding schools and hospitals (OEWS Designation)	3	T	448
999301	Local Government, including schools and hospitals	2	T	449
