series_id        	sector_code	measure_code	duration_code	base_year	series_title	footnote_codes	begin_year	begin_period	end_year	end_period
MPU4900092       	4900	09	2	2012	Labor composition for Private Business Sector (NAICS 11-81), Indexes = 100.000	09	1987	A01	2020	A01
MPU4900093       	4900	09	3	-	Labor composition for Private Business Sector (NAICS 11-81), % Change Year Ago	09	1988	A01	2020	A01
MPU4900101       	4900	10	1	-	Value-added output, current dollars for Private Business Sector (NAICS 11-81), Levels		1987	A01	2019	A01
MPU4900111       	4900	11	1	-	Capital costs, current dollars for Private Business Sector (NAICS 11-81), Levels		1987	A01	2019	A01
MPU4900121       	4900	12	1	-	Labor compensation, current dollars for Private Business Sector (NAICS 11-81), Levels		1987	A01	2019	A01
MPU4900131       	4900	13	1	-	Capital costs share for Private Business Sector (NAICS 11-81), Levels		1987	A01	2019	A01
MPU4900141       	4900	14	1	-	Labor costs share for Private Business Sector (NAICS 11-81), Levels		1987	A01	2019	A01
MPU4900152       	4900	15	2	2012	Contribution of capital intensity  to labor productivity for Private Business Sector (NAICS 11-81), Indexes = 100.000		1987	A01	2020	A01
MPU4900153       	4900	15	3	-	Contribution of capital intensity  to labor productivity for Private Business Sector (NAICS 11-81), % Change Year Ago		1988	A01	2020	A01
MPU4900162       	4900	16	2	2012	Contribution of information processing equipment (IPE) intensity  to labor productivity for Private Business Sector (NAICS 11-81), Indexes = 100.000		1987	A01	2019	A01
MPU4900163       	4900	16	3	-	Contribution of information processing equipment (IPE) intensity  to labor productivity for Private Business Sector (NAICS 11-81), % Change Year Ago		1988	A01	2019	A01
MPU4900172       	4900	17	2	2012	Contribution of capital services excluding IPP and IPE intensity  to labor productivity for Private Business Sector (NAICS 11-81), Indexes = 100.000		1987	A01	2019	A01
MPU4900173       	4900	17	3	-	Contribution of capital services excluding IPP and IPE intensity  to labor productivity for Private Business Sector (NAICS 11-81), % Change Year Ago		1988	A01	2019	A01
MPU4900182       	4900	18	2	2012	Contribution of labor composition to labor productivity for Private Business Sector (NAICS 11-81), Indexes = 100.000		1987	A01	2020	A01
MPU4900183       	4900	18	3	-	Contribution of labor composition to labor productivity for Private Business Sector (NAICS 11-81), % Change Year Ago		1988	A01	2020	A01
MPU4900192       	4900	19	2	2012	Contribution of research and development (R&D) intensity  to labor productivity for Private Business Sector (NAICS 11-81), Indexes = 100.000		1987	A01	2019	A01
MPU4900193       	4900	19	3	-	Contribution of research and development (R&D) intensity  to labor productivity for Private Business Sector (NAICS 11-81), % Change Year Ago		1988	A01	2019	A01
MPU4900202       	4900	20	2	2012	Contribution of intellectual property products excluding R&D intensity  to labor productivity for Private Business Sector (NAICS 11-81), Indexes = 100.000		1987	A01	2019	A01
MPU4900203       	4900	20	3	-	Contribution of intellectual property products excluding R&D intensity  to labor productivity for Private Business Sector (NAICS 11-81), % Change Year Ago		1988	A01	2019	A01
MPU4910012       	4910	01	2	2012	Multifactor productivity for Private Non-Farm Business Sector (NAICS 113-81), Indexes = 100.000	02	1987	A01	2020	A01
MPU4910013       	4910	01	3	-	Multifactor productivity for Private Non-Farm Business Sector (NAICS 113-81), % Change Year Ago	02	1988	A01	2020	A01
MPU4910022       	4910	02	2	2012	Real value-added output for Private Non-Farm Business Sector (NAICS 113-81), Indexes = 100.000		1987	A01	2020	A01
MPU4910023       	4910	02	3	-	Real value-added output for Private Non-Farm Business Sector (NAICS 113-81), % Change Year Ago		1988	A01	2020	A01
MPU4910032       	4910	03	2	2012	Combined inputs of value-added for Private Non-Farm Business Sector (NAICS 113-81), Indexes = 100.000	01	1987	A01	2020	A01
MPU4910033       	4910	03	3	-	Combined inputs of value-added for Private Non-Farm Business Sector (NAICS 113-81), % Change Year Ago	01	1988	A01	2020	A01
MPU4910042       	4910	04	2	2012	Capital input for Private Non-Farm Business Sector (NAICS 113-81), Indexes = 100.000	00	1987	A01	2020	A01
MPU4910043       	4910	04	3	-	Capital input for Private Non-Farm Business Sector (NAICS 113-81), % Change Year Ago	00	1988	A01	2020	A01
MPU4910052       	4910	05	2	2012	Labor input for Private Non-Farm Business Sector (NAICS 113-81), Indexes = 100.000	03	1987	A01	2020	A01
MPU4910053       	4910	05	3	-	Labor input for Private Non-Farm Business Sector (NAICS 113-81), % Change Year Ago	03	1988	A01	2020	A01
MPU4910062       	4910	06	2	2012	Labor productivity for Private Non-Farm Business Sector (NAICS 113-81), Indexes = 100.000		1987	A01	2020	A01
MPU4910063       	4910	06	3	-	Labor productivity for Private Non-Farm Business Sector (NAICS 113-81), % Change Year Ago		1988	A01	2020	A01
MPU4910072       	4910	07	2	2012	Capital productivity for Private Non-Farm Business Sector (NAICS 113-81), Indexes = 100.000		1987	A01	2020	A01
MPU4910073       	4910	07	3	-	Capital productivity for Private Non-Farm Business Sector (NAICS 113-81), % Change Year Ago		1988	A01	2020	A01
MPU4910082       	4910	08	2	2012	Capital intensity for Private Non-Farm Business Sector (NAICS 113-81), Indexes = 100.000		1987	A01	2020	A01
MPU4910083       	4910	08	3	-	Capital intensity for Private Non-Farm Business Sector (NAICS 113-81), % Change Year Ago		1988	A01	2020	A01
MPU4910092       	4910	09	2	2012	Labor composition for Private Non-Farm Business Sector (NAICS 113-81), Indexes = 100.000	09	1987	A01	2020	A01
MPU4910093       	4910	09	3	-	Labor composition for Private Non-Farm Business Sector (NAICS 113-81), % Change Year Ago	09	1988	A01	2020	A01
MPU4910101       	4910	10	1	-	Value-added output, current dollars for Private Non-Farm Business Sector (NAICS 113-81), Levels		1987	A01	2019	A01
MPU4910111       	4910	11	1	-	Capital costs, current dollars for Private Non-Farm Business Sector (NAICS 113-81), Levels		1987	A01	2019	A01
MPU4910121       	4910	12	1	-	Labor compensation, current dollars for Private Non-Farm Business Sector (NAICS 113-81), Levels		1987	A01	2019	A01
MPU4910131       	4910	13	1	-	Capital costs share for Private Non-Farm Business Sector (NAICS 113-81), Levels		1987	A01	2019	A01
MPU4910141       	4910	14	1	-	Labor costs share for Private Non-Farm Business Sector (NAICS 113-81), Levels		1987	A01	2019	A01
MPU4910152       	4910	15	2	2012	Contribution of capital intensity  to labor productivity for Private Non-Farm Business Sector (NAICS 113-81), Indexes = 100.000		1987	A01	2020	A01
MPU4910153       	4910	15	3	-	Contribution of capital intensity  to labor productivity for Private Non-Farm Business Sector (NAICS 113-81), % Change Year Ago		1988	A01	2020	A01
MPU4910162       	4910	16	2	2012	Contribution of information processing equipment (IPE) intensity  to labor productivity for Private Non-Farm Business Sector (NAICS 113-81), Indexes = 100.000		1987	A01	2019	A01
MPU4910163       	4910	16	3	-	Contribution of information processing equipment (IPE) intensity  to labor productivity for Private Non-Farm Business Sector (NAICS 113-81), % Change Year Ago		1988	A01	2019	A01
MPU4910172       	4910	17	2	2012	Contribution of capital services excluding IPP and IPE intensity  to labor productivity for Private Non-Farm Business Sector (NAICS 113-81), Indexes = 100.000		1987	A01	2019	A01
MPU4910173       	4910	17	3	-	Contribution of capital services excluding IPP and IPE intensity  to labor productivity for Private Non-Farm Business Sector (NAICS 113-81), % Change Year Ago		1988	A01	2019	A01
MPU4910182       	4910	18	2	2012	Contribution of labor composition to labor productivity for Private Non-Farm Business Sector (NAICS 113-81), Indexes = 100.000		1987	A01	2020	A01
MPU4910183       	4910	18	3	-	Contribution of labor composition to labor productivity for Private Non-Farm Business Sector (NAICS 113-81), % Change Year Ago		1988	A01	2020	A01
MPU4910192       	4910	19	2	2012	Contribution of research and development (R&D) intensity  to labor productivity for Private Non-Farm Business Sector (NAICS 113-81), Indexes = 100.000		1987	A01	2019	A01
MPU4910193       	4910	19	3	-	Contribution of research and development (R&D) intensity  to labor productivity for Private Non-Farm Business Sector (NAICS 113-81), % Change Year Ago		1988	A01	2019	A01
MPU4910202       	4910	20	2	2012	Contribution of intellectual property products excluding R&D intensity  to labor productivity for Private Non-Farm Business Sector (NAICS 113-81), Indexes = 100.000		1987	A01	2019	A01
MPU4910203       	4910	20	3	-	Contribution of intellectual property products excluding R&D intensity  to labor productivity for Private Non-Farm Business Sector (NAICS 113-81), % Change Year Ago		1988	A01	2019	A01
MPU5000012       	5000	01	2	2012	Multifactor Productivity, Indexes = 100.000,  (NAICS 321 )	04	1987	A01	2019	A01
MPU5000013       	5000	01	3	-	Multifactor Productivity, % change year ago,  (NAICS 321 )	04	1988	A01	2019	A01
MPU5000032       	5000	03	2	2012	Combined Inputs, Indexes = 100.000,  (NAICS 321 )	06	1987	A01	2019	A01
MPU5000033       	5000	03	3	-	Combined Inputs, % change year ago,  (NAICS 321 )	06	1988	A01	2019	A01
MPU5000042       	5000	04	2	2012	Capital Services, Indexes = 100.000,  (NAICS 321 )	00	1987	A01	2019	A01
MPU5000043       	5000	04	3	-	Capital Services, % change year ago,  (NAICS 321 )	00	1988	A01	2019	A01
MPU5000052       	5000	05	2	2012	Labor Input, Indexes = 100.000,  (NAICS 321 )	03	1987	A01	2019	A01
MPU5000053       	5000	05	3	-	Labor Input, % change year ago,  (NAICS 321 )	03	1988	A01	2019	A01
MPU5000062       	5000	06	2	2012	Labor Productivity, Indexes = 100.000,  (NAICS 321 )	08	1987	A01	2019	A01
MPU5000063       	5000	06	3	-	Labor Productivity, % change year ago,  (NAICS 321 )	08	1988	A01	2019	A01
MPU5000072       	5000	07	2	2012	Output per unit of Capital Services, Indexes = 100.000,  (NAICS 321 )		1987	A01	2019	A01
MPU5000073       	5000	07	3	-	Output per unit of Capital Services, % change year ago,  (NAICS 321 )		1988	A01	2019	A01
MPU5000082       	5000	08	2	2012	Capital Intensity, Indexes = 100.000,  (NAICS 321 )	11	1987	A01	2019	A01
MPU5000083       	5000	08	3	-	Capital Intensity, % change year ago,  (NAICS 321 )	11	1988	A01	2019	A01
MPU5000152       	5000	15	2	2012	Contribution of Capital Intensity, Indexes = 100.000,  (NAICS 321 )		1987	A01	2019	A01
MPU5000153       	5000	15	3	-	Contribution of Capital Intensity, % change year ago,  (NAICS 321 )		1988	A01	2019	A01
MPU5000162       	5000	16	2	2012	Contribution of Information Capital Intensity, Indexes = 100.000,  (NAICS 321 )		1987	A01	2019	A01
MPU5000163       	5000	16	3	-	Contribution of Information Capital Intensity, % change year ago,  (NAICS 321 )		1988	A01	2019	A01
MPU5000172       	5000	17	2	2012	Contribution of capital services excluding IPP and IPE intensity, Indexes = 100.000,  (NAICS 321 )		1987	A01	2019	A01
MPU5000173       	5000	17	3	-	Contribution of capital services excluding IPP and IPE intensity, % change year ago,  (NAICS 321 )		1988	A01	2019	A01
MPU5000182       	5000	18	2	2012	Contribution of Labor Composition, Indexes = 100.000,  (NAICS 321 )		1987	A01	2019	A01
MPU5000183       	5000	18	3	-	Contribution of Labor Composition, % change year ago,  (NAICS 321 )		1988	A01	2019	A01
MPU5000192       	5000	19	2	2012	Contribution of research and development (R&D) intensity  to labor productivity , Indexes = 100.000, (NAICS 321)		1987	A01	2019	A01
MPU5000193       	5000	19	3	-	Contribution of research and development (R&D) intensity  to labor productivity , % Change Year Ago, (NAICS 321)		1988	A01	2019	A01
MPU5000202       	5000	20	2	2012	Contribution of intellectual property products excluding R&D intensity, Indexes = 100.000,  (NAICS 321 )		1987	A01	2019	A01
MPU5000203       	5000	20	3	-	Contribution of intellectual property products excluding R&D intensity, % change year ago,  (NAICS 321 )		1988	A01	2019	A01
MPU5000512       	5000	51	2	2012	Sectoral Output, Indexes = 100.000,  (NAICS 321 )	05	1987	A01	2019	A01
MPU5000513       	5000	51	3	-	Sectoral Output, % change year ago,  (NAICS 321 )	05	1988	A01	2019	A01
MPU5000552       	5000	55	2	2012	Energy, Indexes = 100.000,  (NAICS 321 )		1987	A01	2019	A01
MPU5000553       	5000	55	3	-	Energy, % change year ago,  (NAICS 321 )		1988	A01	2019	A01
MPU5000562       	5000	56	2	2012	Materials, Indexes = 100.000,  (NAICS 321 )	07	1987	A01	2019	A01
MPU5000563       	5000	56	3	-	Materials, % change year ago,  (NAICS 321 )	07	1988	A01	2019	A01
MPU5000572       	5000	57	2	2012	Purchased Services, Indexes = 100.000,  (NAICS 321 )		1987	A01	2019	A01
MPU5000573       	5000	57	3	-	Purchased Services, % change year ago,  (NAICS 321 )		1988	A01	2019	A01
MPU5000611       	5000	61	1	-	Value of Production, billions of current dollars, Levels,  (NAICS 321 )		1987	A01	2019	A01
MPU5000621       	5000	62	1	-	Capital Payments, billions of current dollars, Levels,  (NAICS 321 )		1987	A01	2019	A01
MPU5000631       	5000	63	1	-	Cost of Labor, billions of current dollars, Levels,  (NAICS 321 )		1987	A01	2019	A01
MPU5000641       	5000	64	1	-	Cost of Energy, billions of current dollars, Levels,  (NAICS 321 )		1987	A01	2019	A01
MPU5000651       	5000	65	1	-	Cost of Materials, billions of current dollars, Levels,  (NAICS 321 )		1987	A01	2019	A01
MPU5000661       	5000	66	1	-	Cost of Purchased Services, billions of current dollars, Levels,  (NAICS 321 )		1987	A01	2019	A01
MPU5000671       	5000	67	1	-	Capital Factor Shares, Levels,  (NAICS 321 )		1987	A01	2019	A01
MPU5000681       	5000	68	1	-	Labor Factor Shares, Levels,  (NAICS 321 )		1987	A01	2019	A01
MPU5000691       	5000	69	1	-	Energy Factor Shares, Levels,  (NAICS 321 )		1987	A01	2019	A01
MPU5000701       	5000	70	1	-	Materials Factor Shares, Levels,  (NAICS 321 )		1987	A01	2019	A01
MPU5000711       	5000	71	1	-	Purchased Services Factor Shares, Levels,  (NAICS 321 )		1987	A01	2019	A01
MPU5000742       	5000	74	2	2012	Contribution of Energy Intensity, Indexes = 100.000,  (NAICS 321 )		1987	A01	2019	A01
MPU5000743       	5000	74	3	-	Contribution of Energy Intensity, % change year ago,  (NAICS 321 )		1988	A01	2019	A01
MPU5000762       	5000	76	2	2012	Contribution of Materials Intensity, Indexes = 100.000,  (NAICS 321 )		1987	A01	2019	A01
MPU5000763       	5000	76	3	-	Contribution of Materials Intensity, % change year ago,  (NAICS 321 )		1988	A01	2019	A01
MPU5000772       	5000	77	2	2012	Contribution of Purchased Services Intensity, Indexes = 100.000,  (NAICS 321 )		1987	A01	2019	A01
MPU5000773       	5000	77	3	-	Contribution of Purchased Services Intensity, % change year ago,  (NAICS 321 )		1988	A01	2019	A01
MPU5000782       	5000	78	2	2012	Contribution of Intermediate Inputs, Indexes = 100.000,  (NAICS 321 )		1987	A01	2019	A01
MPU5000783       	5000	78	3	-	Contribution of Intermediate Inputs, % change year ago,  (NAICS 321 )		1988	A01	2019	A01
MPU5050012       	5050	01	2	2012	Multifactor Productivity, Indexes = 100.000,  (NAICS 327 )	04	1987	A01	2019	A01
MPU5050013       	5050	01	3	-	Multifactor Productivity, % change year ago,  (NAICS 327 )	04	1988	A01	2019	A01
MPU5050032       	5050	03	2	2012	Combined Inputs, Indexes = 100.000,  (NAICS 327 )	06	1987	A01	2019	A01
MPU5050033       	5050	03	3	-	Combined Inputs, % change year ago,  (NAICS 327 )	06	1988	A01	2019	A01
MPU5050042       	5050	04	2	2012	Capital Services, Indexes = 100.000,  (NAICS 327 )	00	1987	A01	2019	A01
MPU5050043       	5050	04	3	-	Capital Services, % change year ago,  (NAICS 327 )	00	1988	A01	2019	A01
MPU5050052       	5050	05	2	2012	Labor Input, Indexes = 100.000,  (NAICS 327 )	03	1987	A01	2019	A01
MPU5050053       	5050	05	3	-	Labor Input, % change year ago,  (NAICS 327 )	03	1988	A01	2019	A01
MPU5050062       	5050	06	2	2012	Labor Productivity, Indexes = 100.000,  (NAICS 327 )	08	1987	A01	2019	A01
MPU5050063       	5050	06	3	-	Labor Productivity, % change year ago,  (NAICS 327 )	08	1988	A01	2019	A01
MPU5050072       	5050	07	2	2012	Output per unit of Capital Services, Indexes = 100.000,  (NAICS 327 )		1987	A01	2019	A01
MPU5050073       	5050	07	3	-	Output per unit of Capital Services, % change year ago,  (NAICS 327 )		1988	A01	2019	A01
MPU5050082       	5050	08	2	2012	Capital Intensity, Indexes = 100.000,  (NAICS 327 )	11	1987	A01	2019	A01
MPU5050083       	5050	08	3	-	Capital Intensity, % change year ago,  (NAICS 327 )	11	1988	A01	2019	A01
MPU5050152       	5050	15	2	2012	Contribution of Capital Intensity, Indexes = 100.000,  (NAICS 327 )		1987	A01	2019	A01
MPU5050153       	5050	15	3	-	Contribution of Capital Intensity, % change year ago,  (NAICS 327 )		1988	A01	2019	A01
MPU5050162       	5050	16	2	2012	Contribution of Information Capital Intensity, Indexes = 100.000,  (NAICS 327 )		1987	A01	2019	A01
MPU5050163       	5050	16	3	-	Contribution of Information Capital Intensity, % change year ago,  (NAICS 327 )		1988	A01	2019	A01
MPU5050172       	5050	17	2	2012	Contribution of capital services excluding IPP and IPE intensity, Indexes = 100.000,  (NAICS 327 )		1987	A01	2019	A01
MPU5050173       	5050	17	3	-	Contribution of capital services excluding IPP and IPE intensity, % change year ago,  (NAICS 327 )		1988	A01	2019	A01
MPU5050182       	5050	18	2	2012	Contribution of Labor Composition, Indexes = 100.000,  (NAICS 327 )		1987	A01	2019	A01
MPU5050183       	5050	18	3	-	Contribution of Labor Composition, % change year ago,  (NAICS 327 )		1988	A01	2019	A01
MPU5050192       	5050	19	2	2012	Contribution of research and development (R&D) intensity  to labor productivity , Indexes = 100.000, (NAICS 327)		1987	A01	2019	A01
MPU5050193       	5050	19	3	-	Contribution of research and development (R&D) intensity  to labor productivity , % Change Year Ago, (NAICS 327)		1988	A01	2019	A01
MPU5050202       	5050	20	2	2012	Contribution of intellectual property products excluding R&D intensity, Indexes = 100.000,  (NAICS 327 )		1987	A01	2019	A01
MPU5050203       	5050	20	3	-	Contribution of intellectual property products excluding R&D intensity, % change year ago,  (NAICS 327 )		1988	A01	2019	A01
MPU5050512       	5050	51	2	2012	Sectoral Output, Indexes = 100.000,  (NAICS 327 )	05	1987	A01	2019	A01
MPU5050513       	5050	51	3	-	Sectoral Output, % change year ago,  (NAICS 327 )	05	1988	A01	2019	A01
MPU5050552       	5050	55	2	2012	Energy, Indexes = 100.000,  (NAICS 327 )		1987	A01	2019	A01
MPU5050553       	5050	55	3	-	Energy, % change year ago,  (NAICS 327 )		1988	A01	2019	A01
MPU5050562       	5050	56	2	2012	Materials, Indexes = 100.000,  (NAICS 327 )	07	1987	A01	2019	A01
MPU5050563       	5050	56	3	-	Materials, % change year ago,  (NAICS 327 )	07	1988	A01	2019	A01
MPU5050572       	5050	57	2	2012	Purchased Services, Indexes = 100.000,  (NAICS 327 )		1987	A01	2019	A01
MPU5050573       	5050	57	3	-	Purchased Services, % change year ago,  (NAICS 327 )		1988	A01	2019	A01
MPU5050611       	5050	61	1	-	Value of Production, billions of current dollars, Levels,  (NAICS 327 )		1987	A01	2019	A01
MPU5050621       	5050	62	1	-	Capital Payments, billions of current dollars, Levels,  (NAICS 327 )		1987	A01	2019	A01
MPU5050631       	5050	63	1	-	Cost of Labor, billions of current dollars, Levels,  (NAICS 327 )		1987	A01	2019	A01
MPU5050641       	5050	64	1	-	Cost of Energy, billions of current dollars, Levels,  (NAICS 327 )		1987	A01	2019	A01
MPU5050651       	5050	65	1	-	Cost of Materials, billions of current dollars, Levels,  (NAICS 327 )		1987	A01	2019	A01
MPU5050661       	5050	66	1	-	Cost of Purchased Services, billions of current dollars, Levels,  (NAICS 327 )		1987	A01	2019	A01
MPU5050671       	5050	67	1	-	Capital Factor Shares, Levels,  (NAICS 327 )		1987	A01	2019	A01
MPU5050681       	5050	68	1	-	Labor Factor Shares, Levels,  (NAICS 327 )		1987	A01	2019	A01
MPU5050691       	5050	69	1	-	Energy Factor Shares, Levels,  (NAICS 327 )		1987	A01	2019	A01
MPU5050701       	5050	70	1	-	Materials Factor Shares, Levels,  (NAICS 327 )		1987	A01	2019	A01
MPU5050711       	5050	71	1	-	Purchased Services Factor Shares, Levels,  (NAICS 327 )		1987	A01	2019	A01
MPU5050742       	5050	74	2	2012	Contribution of Energy Intensity, Indexes = 100.000,  (NAICS 327 )		1987	A01	2019	A01
MPU5050743       	5050	74	3	-	Contribution of Energy Intensity, % change year ago,  (NAICS 327 )		1988	A01	2019	A01
MPU5050762       	5050	76	2	2012	Contribution of Materials Intensity, Indexes = 100.000,  (NAICS 327 )		1987	A01	2019	A01
MPU5050763       	5050	76	3	-	Contribution of Materials Intensity, % change year ago,  (NAICS 327 )		1988	A01	2019	A01
MPU5050772       	5050	77	2	2012	Contribution of Purchased Services Intensity, Indexes = 100.000,  (NAICS 327 )		1987	A01	2019	A01
MPU5050773       	5050	77	3	-	Contribution of Purchased Services Intensity, % change year ago,  (NAICS 327 )		1988	A01	2019	A01
MPU5050782       	5050	78	2	2012	Contribution of Intermediate Inputs, Indexes = 100.000,  (NAICS 327 )		1987	A01	2019	A01
MPU5050783       	5050	78	3	-	Contribution of Intermediate Inputs, % change year ago,  (NAICS 327 )		1988	A01	2019	A01
MPU5100012       	5100	01	2	2012	Multifactor Productivity, Indexes = 100.000,  (NAICS 331 )	04	1987	A01	2019	A01
MPU5100013       	5100	01	3	-	Multifactor Productivity, % change year ago,  (NAICS 331 )	04	1988	A01	2019	A01
MPU5100032       	5100	03	2	2012	Combined Inputs, Indexes = 100.000,  (NAICS 331 )	06	1987	A01	2019	A01
MPU5100033       	5100	03	3	-	Combined Inputs, % change year ago,  (NAICS 331 )	06	1988	A01	2019	A01
MPU5100042       	5100	04	2	2012	Capital Services, Indexes = 100.000,  (NAICS 331 )	00	1987	A01	2019	A01
MPU5100043       	5100	04	3	-	Capital Services, % change year ago,  (NAICS 331 )	00	1988	A01	2019	A01
MPU5100052       	5100	05	2	2012	Labor Input, Indexes = 100.000,  (NAICS 331 )	03	1987	A01	2019	A01
MPU5100053       	5100	05	3	-	Labor Input, % change year ago,  (NAICS 331 )	03	1988	A01	2019	A01
MPU5100062       	5100	06	2	2012	Labor Productivity, Indexes = 100.000,  (NAICS 331 )	08	1987	A01	2019	A01
MPU5100063       	5100	06	3	-	Labor Productivity, % change year ago,  (NAICS 331 )	08	1988	A01	2019	A01
MPU5100072       	5100	07	2	2012	Output per unit of Capital Services, Indexes = 100.000,  (NAICS 331 )		1987	A01	2019	A01
MPU5100073       	5100	07	3	-	Output per unit of Capital Services, % change year ago,  (NAICS 331 )		1988	A01	2019	A01
MPU5100082       	5100	08	2	2012	Capital Intensity, Indexes = 100.000,  (NAICS 331 )	11	1987	A01	2019	A01
MPU5100083       	5100	08	3	-	Capital Intensity, % change year ago,  (NAICS 331 )	11	1988	A01	2019	A01
MPU5100152       	5100	15	2	2012	Contribution of Capital Intensity, Indexes = 100.000,  (NAICS 331 )		1987	A01	2019	A01
MPU5100153       	5100	15	3	-	Contribution of Capital Intensity, % change year ago,  (NAICS 331 )		1988	A01	2019	A01
MPU5100162       	5100	16	2	2012	Contribution of Information Capital Intensity, Indexes = 100.000,  (NAICS 331 )		1987	A01	2019	A01
MPU5100163       	5100	16	3	-	Contribution of Information Capital Intensity, % change year ago,  (NAICS 331 )		1988	A01	2019	A01
MPU5100172       	5100	17	2	2012	Contribution of capital services excluding IPP and IPE intensity, Indexes = 100.000,  (NAICS 331 )		1987	A01	2019	A01
MPU5100173       	5100	17	3	-	Contribution of capital services excluding IPP and IPE intensity, % change year ago,  (NAICS 331 )		1988	A01	2019	A01
MPU5100182       	5100	18	2	2012	Contribution of Labor Composition, Indexes = 100.000,  (NAICS 331 )		1987	A01	2019	A01
MPU5100183       	5100	18	3	-	Contribution of Labor Composition, % change year ago,  (NAICS 331 )		1988	A01	2019	A01
MPU5100192       	5100	19	2	2012	Contribution of research and development (R&D) intensity  to labor productivity , Indexes = 100.000, (NAICS 331)		1987	A01	2019	A01
MPU5100193       	5100	19	3	-	Contribution of research and development (R&D) intensity  to labor productivity , % Change Year Ago, (NAICS 331)		1988	A01	2019	A01
MPU5100202       	5100	20	2	2012	Contribution of intellectual property products excluding R&D intensity, Indexes = 100.000,  (NAICS 331 )		1987	A01	2019	A01
MPU5100203       	5100	20	3	-	Contribution of intellectual property products excluding R&D intensity, % change year ago,  (NAICS 331 )		1988	A01	2019	A01
MPU5100512       	5100	51	2	2012	Sectoral Output, Indexes = 100.000,  (NAICS 331 )	05	1987	A01	2019	A01
MPU5100513       	5100	51	3	-	Sectoral Output, % change year ago,  (NAICS 331 )	05	1988	A01	2019	A01
MPU5100552       	5100	55	2	2012	Energy, Indexes = 100.000,  (NAICS 331 )		1987	A01	2019	A01
MPU5100553       	5100	55	3	-	Energy, % change year ago,  (NAICS 331 )		1988	A01	2019	A01
MPU5100562       	5100	56	2	2012	Materials, Indexes = 100.000,  (NAICS 331 )	07	1987	A01	2019	A01
MPU5100563       	5100	56	3	-	Materials, % change year ago,  (NAICS 331 )	07	1988	A01	2019	A01
MPU5100572       	5100	57	2	2012	Purchased Services, Indexes = 100.000,  (NAICS 331 )		1987	A01	2019	A01
MPU5100573       	5100	57	3	-	Purchased Services, % change year ago,  (NAICS 331 )		1988	A01	2019	A01
MPU5100611       	5100	61	1	-	Value of Production, billions of current dollars, Levels,  (NAICS 331 )		1987	A01	2019	A01
MPU5100621       	5100	62	1	-	Capital Payments, billions of current dollars, Levels,  (NAICS 331 )		1987	A01	2019	A01
MPU5100631       	5100	63	1	-	Cost of Labor, billions of current dollars, Levels,  (NAICS 331 )		1987	A01	2019	A01
MPU5100641       	5100	64	1	-	Cost of Energy, billions of current dollars, Levels,  (NAICS 331 )		1987	A01	2019	A01
MPU5100651       	5100	65	1	-	Cost of Materials, billions of current dollars, Levels,  (NAICS 331 )		1987	A01	2019	A01
MPU5100661       	5100	66	1	-	Cost of Purchased Services, billions of current dollars, Levels,  (NAICS 331 )		1987	A01	2019	A01
MPU5100671       	5100	67	1	-	Capital Factor Shares, Levels,  (NAICS 331 )		1987	A01	2019	A01
