datatype_provision_code,datatype_code,datatype_text,provision_code,provision_text
30_069_NB,30,Mean,069,Mean # of paid vacation days after 1 yr of service for workers w/out consolidated leave plans
30_070_NB,30,Mean,070,Mean # of paid vacation days after 5 yrs of service for workers w/out consolidated leave plans
30_071_NB,30,Mean,071,Mean # of paid vacation days after 10 yrs of service for workers w/out consolidated leave plans
30_072_NB,30,Mean,072,Mean # of paid vacation days after 20 yrs of service for workers w/out consolidated leave plans
33_030_NB,33,Access to benefit - plan and occupation-level,030,Access to paid vacation
23_075_NB,23,Median,075,Median # of paid holidays
29_076_NB,29,Access to benefit - plan-level,076,Access to less than 6 paid holidays
29_077_NB,29,Access to benefit - plan-level,077,Access to 6 paid holidays
29_078_NB,29,Access to benefit - plan-level,078,Access to 7 paid holidays
29_079_NB,29,Access to benefit - plan-level,079,Access to 8 paid holidays
29_080_NB,29,Access to benefit - plan-level,080,Access to 9 paid holidays
29_081_NB,29,Access to benefit - plan-level,081,Access to 10 paid holidays
29_082_NB,29,Access to benefit - plan-level,082,Access to 11 paid holidays
29_083_NB,29,Access to benefit - plan-level,083,Access to 12 paid holidays
29_084_NB,29,Access to benefit - plan-level,084,Access to 13 paid holidays
29_085_NB,29,Access to benefit - plan-level,085,Access to 14 paid holidays
29_086_NB,29,Access to benefit - plan-level,086,Access to more than 14 paid holidays
29_382_NB,29,Access to benefit - plan-level,382,Access to less than 5 paid holidays
29_383_NB,29,Access to benefit - plan-level,383,Access to 5 paid holidays
30_074_NB,30,Mean,074,Mean # of paid holidays
33_073_NB,33,Access to benefit - plan and occupation-level,073,Access to paid holidays
20_088_NB,20,Percent participation,088,Access to fixed # of paid sick days per yr
20_089_NB,20,Percent participation,089,% of workers w/ a fixed # of sick days per yr and a carryover provision
20_090_NB,20,Percent participation,090,% of workers w/ a fixed # of sick days per yr and an unlimited accumulation carryover provision
20_091_NB,20,Percent participation,091,% of workers w/ a fixed # of sick days per yr and a limit on days accumulated carryover provision
20_102_NB,20,Percent participation,102,% of workers w/ a fixed # of days per yr and no carryover provision
20_103_NB,20,Percent participation,103,Access to paid sick leave on an as needed basis
20_104_NB,20,Percent participation,104,Access to paid sick leave as part of consolidated leave plan
23_106_NB,23,Median,106,Median # of annual paid sick days after one yr of service
23_113_NB,23,Median,113,Median # of annual paid sick days after five yrs of service
23_120_NB,23,Median,120,Median # of annual paid sick days after ten yrs of service
23_127_NB,23,Median,127,Median # of annual paid sick days after twenty yrs of service
29_107_NB,29,Access to benefit - plan-level,107,Access to less than 5 sick days after one yr of service
29_108_NB,29,Access to benefit - plan-level,108,Access to 5 to 9 sick days after one yr of service
29_109_NB,29,Access to benefit - plan-level,109,Access to 10 to 14 sick days after one yr of service
29_110_NB,29,Access to benefit - plan-level,110,Access to 15 to 29 sick days after one yr of service
29_111_NB,29,Access to benefit - plan-level,111,Access to more than 29 sick days after one yr of service
29_114_NB,29,Access to benefit - plan-level,114,Access to less than 5 sick days after five yrs of service
29_115_NB,29,Access to benefit - plan-level,115,Access to 5 to 9 sick days after five yrs of service
29_116_NB,29,Access to benefit - plan-level,116,Access to 10 to 14 sick days after five yrs of service
29_117_NB,29,Access to benefit - plan-level,117,Access to 15 to 29 sick days after five yrs of service
29_118_NB,29,Access to benefit - plan-level,118,Access to more than 29 sick days after five yrs of service
29_121_NB,29,Access to benefit - plan-level,121,Access to less than 5 sick days after ten yrs of service
29_122_NB,29,Access to benefit - plan-level,122,Access to 5 to 9 sick days after ten yrs of service
29_123_NB,29,Access to benefit - plan-level,123,Access to 10 to 14 sick days after ten yrs of service
29_124_NB,29,Access to benefit - plan-level,124,Access to 15 to 29 sick days after ten yrs of service
29_125_NB,29,Access to benefit - plan-level,125,Access to more than 29 sick days after ten yrs of service
29_128_NB,29,Access to benefit - plan-level,128,Access to less than 5 sick days after twenty yrs of service
29_129_NB,29,Access to benefit - plan-level,129,Access to 5 to 9 sick days after twenty yrs of service
29_130_NB,29,Access to benefit - plan-level,130,Access to 10 to 14 sick days after twenty yrs of service
29_131_NB,29,Access to benefit - plan-level,131,Access to 15 to 29 sick days after twenty yrs of service
29_132_NB,29,Access to benefit - plan-level,132,Access to more than 29 sick days after twenty yrs of service
30_105_NB,30,Mean,105,Mean # of annual paid sick days after one yr of service
30_112_NB,30,Mean,112,Mean # of annual paid sick days after five yrs of service
30_119_NB,30,Mean,119,Mean # of annual paid sick days after ten yrs of service
30_126_NB,30,Mean,126,Mean # of annual paid sick days after twenty yrs of service
33_087_NB,33,Access to benefit - plan and occupation-level,087,Access to paid sick leave
28_133_NB,28,Percent with access to benefit - occupation-level,133,Access to all nonproduction bonuses
28_134_NB,28,Percent with access to benefit - occupation-level,134,Access to a cash profit-sharing bonus
28_135_NB,28,Percent with access to benefit - occupation-level,135,Access to a ee recognition bonus
28_136_NB,28,Percent with access to benefit - occupation-level,136,Access to a end-of-year bonus
28_137_NB,28,Percent with access to benefit - occupation-level,137,Access to a holiday bonus
28_138_NB,28,Percent with access to benefit - occupation-level,138,Access to a payment in lieu of benefits bonus
28_139_NB,28,Percent with access to benefit - occupation-level,139,Access to a longevity bonus
28_140_NB,28,Percent with access to benefit - occupation-level,140,Access to a referral bonus
28_141_NB,28,Percent with access to benefit - occupation-level,141,Access to other bonuses
20_145_NB,20,Percent participation,145,Access to basic life insurance and ee contrib. not req.
20_146_NB,20,Percent participation,146,Access to basic life insurance and ee contrib. required
20_147_NB,20,Percent participation,147,Access to a fixed multiple of annual earnings payment method for basic life insurance
20_150_NB,20,Percent participation,150,< 1.0 times earnings for workers w/ a fixed multiple of annual earnings life insurance formula
20_151_NB,20,Percent participation,151,1.0 times earnings for workers w/ a fixed multiple of annual earnings life insurance formula
20_152_NB,20,Percent participation,152,1.0 - 2.0 times earnings for workers w/ a fixed multiple of annual earnings life insurance formula
20_153_NB,20,Percent participation,153,2.0 times earnings for workers w/ a fixed multiple of annual earnings life insurance formula
20_154_NB,20,Percent participation,154,> 2.0 times earnings for workers w/ a fixed multiple of annual earnings life insurance formula
20_155_NB,20,Percent participation,155,Access to a fixed multiple of earnings and a maximum benefit amount
20_156_NB,20,Percent participation,156,Access to a fixed multiple of earnings and no maximum benefit amount
20_162_NB,20,Percent participation,162,Access to a variable multiple of earnings payment method for basic life insurance
20_163_NB,20,Percent participation,163,Access to a flat dollar amount payment method for basic life insurance
20_169_NB,20,Percent participation,169,Access to a variable dollar amount payment method for basic life insurance
20_170_NB,20,Percent participation,170,Access to other payment methods for basic life insurance
21_157_NB,21,10th percentile,157,Maximum benefit amount for workers w/ life insurance plans (10th percentile)
21_164_NB,21,10th percentile,164,Life Insurance: Flat dollar amount (10th percentile)
22_158_NB,22,25th percentile,158,Maximum benefit amount for workers w/ life insurance plans (25th percentile)
22_165_NB,22,25th percentile,165,Life Insurance: Flat dollar amount (25th percentile)
23_149_NB,23,Median,149,Median earnings for workers w/ a fixed multiple of annual earnings life insurance formula
23_159_NB,23,Median,159,Maximum benefit amount for workers w/ life insurance plans (50th percentile)
23_166_NB,23,Median,166,Life Insurance: Flat dollar amount (50th percentile)
24_160_NB,24,75th percentile,160,Maximum benefit amount for workers w/ life insurance plans (75th percentile)
24_167_NB,24,75th percentile,167,Life Insurance: Flat dollar amount (75th percentile)
25_161_NB,25,90th percentile,161,Maximum benefit amount for workers w/ life insurance plans (90th percentile)
25_168_NB,25,90th percentile,168,Life Insurance: Flat dollar amount (90th percentile)
26_143_NB,26,Percent participation across all workers,143,% of workers in life insurance plans
28_142_NB,28,Percent with access to benefit - occupation-level,142,Access to life insurance plans
30_148_NB,30,Mean,148,Mean earnings for workers w/ a fixed multiple of annual earnings life insurance formula
32_144_NB,32,Take-up rate,144,Take-up rate of workers w/ access to life insurance plans
20_181_NB,20,Percent participation,181,All workers w/ single coverage medical care benefits = 100 percent
20_183_NB,20,Percent participation,183,% of ees w/ single coverage medical care benefits and ee contrib. not req.
20_185_NB,20,Percent participation,185,% of ees w/ single coverage medical care benefits and ee contrib. req.
20_188_NB,20,Percent participation,188,All workers w/ contributory coverage for single coverage = 100 percent
20_189_NB,20,Percent participation,189,"Medical care benefits, single coverage: ee participation by type of contrib. (Flat dollar amount)"
20_196_NB,20,Percent participation,196,"Medical care benefits, single coverage: ee participation by type of contrib. (Composite rate)"
20_198_NB,20,Percent participation,198,"Medical care benefits, single coverage: ee participation by type of contrib. (Varies)"
20_200_NB,20,Percent participation,200,"Medical care benefits, single coverage: ee participation by type of contrib. (Flexible benefits)"
20_202_NB,20,Percent participation,202,"Medical care benefits, single coverage: ee participation by type of contrib. (% of earnings)"
20_204_NB,20,Percent participation,204,"Medical care benefits, single coverage: ee participation by type of contrib. (Exists, but amount unknown)"
20_206_NB,20,Percent participation,206,"Medical care benefits, single coverage: ee participation by type of contrib. (Other)"
20_210_NB,20,Percent participation,210,All workers w/ family coverage medical care benefits = 100 percent
20_212_NB,20,Percent participation,212,% of ees w/ family coverage medical care benefits and ee contrib. not req.
20_214_NB,20,Percent participation,214,% of ees w/ family coverage medical care benefits and ee contrib. req.
20_217_NB,20,Percent participation,217,All workers w/ contributory coverage for family coverage = 100 percent
20_218_NB,20,Percent participation,218,"Medical care benefits, family coverage: ee participation by type of contrib. (Flat dollar amount)"
20_225_NB,20,Percent participation,225,"Medical care benefits, family coverage: ee participation by type of contrib. (Composite rate)"
20_227_NB,20,Percent participation,227,"Medical care benefits, family coverage: ee participation by type of contrib. (Varies)"
20_229_NB,20,Percent participation,229,"Medical care benefits, family coverage: ee participation by type of contrib. (Flexible benefits)"
20_231_NB,20,Percent participation,231,"Medical care benefits, family coverage: ee participation by type of contrib. (% of earnings)"
20_233_NB,20,Percent participation,233,"Medical care benefits, family coverage: ee participation by type of contrib. (Exists, but amount unknown)"
20_235_NB,20,Percent participation,235,"Medical care benefits, family coverage: ee participation by type of contrib. (Other)"
21_191_NB,21,10th percentile,191,Medical care benefits: Monthly ee contrib. for single coverage w/ flat $ amounts (10th percentile)
21_220_NB,21,10th percentile,220,Medical care benefits: Monthly ee contrib. for family coverage w/ flat $ amounts (10th percentile)
22_192_NB,22,25th percentile,192,Medical care benefits: Monthly ee contrib. for single coverage w/ flat $ amounts (25th percentile)
22_221_NB,22,25th percentile,221,Medical care benefits: Monthly ee contrib. for family coverage w/ flat $ amounts (25th percentile)
23_193_NB,23,Median,193,Medical care benefits: Monthly ee contrib. for single coverage w/ flat $ amounts (50th percentile)
23_222_NB,23,Median,222,Medical care benefits: Monthly ee contrib. for family coverage w/ flat $ amounts (50th percentile)
24_194_NB,24,75th percentile,194,Medical care benefits: Monthly ee contrib. for single coverage w/ flat $ amounts (75th percentile)
24_223_NB,24,75th percentile,223,Medical care benefits: Monthly ee contrib. for family coverage w/ flat $ amounts (75th percentile)
25_195_NB,25,90th percentile,195,Medical care benefits: Monthly ee contrib. for single coverage w/ flat $ amounts (90th percentile)
25_224_NB,25,90th percentile,224,Medical care benefits: Monthly ee contrib. for family coverage w/ flat $ amounts (90th percentile)
26_179_NB,26,Percent participation across all workers,179,% of workers participating in medical care
26_240_NB,26,Percent participation across all workers,240,% of workers participating in dental care
26_243_NB,26,Percent participation across all workers,243,% of workers participating in vision care
26_246_NB,26,Percent participation across all workers,246,% of workers participating in outpatient prescription drug coverage
28_171_NB,28,Percent with access to benefit - occupation-level,171,Access to health care
28_178_NB,28,Percent with access to benefit - occupation-level,178,Access to medical care
28_239_NB,28,Percent with access to benefit - occupation-level,239,Access to dental care
28_242_NB,28,Percent with access to benefit - occupation-level,242,Access to vision care
28_245_NB,28,Percent with access to benefit - occupation-level,245,Access to outpatient prescription drug coverage
30_182_NB,30,Mean,182,Avg. flat monthly er prem for single coverage medical care benefits
30_184_NB,30,Mean,184,Avg. flat monthly er prem for ees w/ single coverage medical care benefits and ee contrib. not req.
30_186_NB,30,Mean,186,Avg. flat monthly er prem for ees w/ single coverage medical care benefits and ee contrib. req.
30_187_NB,30,Mean,187,Avg. flat monthly ee contrib. for ees w/ single coverage medical care benefits and ee contrib. req.
30_211_NB,30,Mean,211,Avg. flat monthly er prem for family coverage medical care benefits
30_213_NB,30,Mean,213,Avg. flat monthly er prem for ees w/ family coverage medical care benefits and ee contrib. not req.
30_215_NB,30,Mean,215,Avg. flat monthly er prem for ees w/ family coverage medical care benefits and ee contrib. req.
30_216_NB,30,Mean,216,Avg. flat monthly ee contrib. for ees w/ family coverage medical care benefits and ee contrib. req.
31_174_NB,31,Share of premiums,174,Er share of health prems for single coverage
31_175_NB,31,Share of premiums,175,Ee share of health prems for single coverage
31_176_NB,31,Share of premiums,176,Er share of health prems for family coverage
31_177_NB,31,Share of premiums,177,Ee share of health prems for family coverage
31_208_NB,31,Share of premiums,208,Er share of medical prem for single coverage
31_209_NB,31,Share of premiums,209,Ee share of medical prem for single coverage
31_237_NB,31,Share of premiums,237,Er share of medical prem for family coverage
31_238_NB,31,Share of premiums,238,Ee share of medical prem for family coverage
32_180_NB,32,Take-up rate,180,Take-up rate of workers w/ access to medical care
32_241_NB,32,Take-up rate,241,Take-up rate of workers w/ access to dental care
32_244_NB,32,Take-up rate,244,Take-up rate of workers w/ access to vision care
32_247_NB,32,Take-up rate,247,Take-up rate of workers w/ access to outpatient prescription drug coverage
20_251_NB,20,Percent participation,251,Method of funding short-term disability plans: Non-commercially insured
20_252_NB,20,Percent participation,252,Method of funding short-term disability plans: Commercially insured
20_253_NB,20,Percent participation,253,Method of funding short-term disability plans: Legally required
20_254_NB,20,Percent participation,254,Method of funding short-term disability plans: Other
20_255_NB,20,Percent participation,255,% of ees w/ short-term disability coverage and ee contrib. not req.
20_256_NB,20,Percent participation,256,% of ees w/ short-term disability coverage and ee contrib. req.
20_257_NB,20,Percent participation,257,% of ees w/ short-term disability coverage: Flat dollar amount payment method
20_263_NB,20,Percent participation,263,% of workers w/ short-term disability coverage: Variable dollar amount payment method
20_264_NB,20,Percent participation,264,% of workers w/ short-term disability coverage: Fixed % of earnings payment method
20_265_NB,20,Percent participation,265,Access to a fixed % of annual earnings short-term disability coverage less than 50 %
20_266_NB,20,Percent participation,266,Access to a fixed % of annual earnings short-term disability coverage equal to 50 %
20_267_NB,20,Percent participation,267,Access to a fixed % of annual earnings short-term disability coverage between 51 and 59 %
20_268_NB,20,Percent participation,268,Access to a fixed % of annual earnings short-term disability coverage equal to 60 %
20_269_NB,20,Percent participation,269,Access to a fixed % of annual earnings short-term disability coverage between 61 and 69 %
20_270_NB,20,Percent participation,270,Access to a fixed % of annual earnings short-term disability coverage greater than 69 %
20_273_NB,20,Percent participation,273,Access to a maximum benefit amount for fixed % of annual earnings short-term disability coverage
20_279_NB,20,Percent participation,279,Access to no maximum benefit amount for fixed % of annual earnings short-term disability coverage
20_280_NB,20,Percent participation,280,% of workers w/ short-term disability coverage: Variable % of earnings payment method
20_281_NB,20,Percent participation,281,% of workers w/ short-term disability coverage: Other payment methods
20_282_NB,20,Percent participation,282,Access to short-term disability coverage w/ fixed duration of benefits
20_288_NB,20,Percent participation,288,Access to short-term disability coverage w/ variable duration of benefits
21_274_NB,21,10th percentile,274,Max wkly ben.amnt for fixed % of annual earnings short-term disability coverage (10th percentile)
21_283_NB,21,10th percentile,283,Duration of short-term disability benefits in weeks (10th percentile)
22_275_NB,22,25th percentile,275,Max wkly ben.amnt for fixed % of annual earnings short-term disability coverage (25th percentile)
22_284_NB,22,25th percentile,284,Duration of short-term disability benefits in weeks (25th percentile)
23_272_NB,23,Median,272,Median fixed % of annual earnings for short-term disability coverage
23_276_NB,23,Median,276,Max wkly ben.amnt for fixed % of annual earnings short-term disability coverage (50th percentile)
23_285_NB,23,Median,285,Duration of short-term disability benefits in weeks (50th percentile)
24_277_NB,24,75th percentile,277,Max wkly ben.amnt for fixed % of annual earnings short-term disability coverage (75th percentile)
24_286_NB,24,75th percentile,286,Duration of short-term disability benefits in weeks (75th percentile)
25_278_NB,25,90th percentile,278,Max wkly ben.amnt for fixed % of annual earnings short-term disability coverage (90th percentile)
25_287_NB,25,90th percentile,287,Duration of short-term disability benefits in weeks (90th percentile)
26_249_NB,26,Percent participation across all workers,249,% of workers participating in a short-term disability plan
28_248_NB,28,Percent with access to benefit - occupation-level,248,Access to a short-term disability plan
30_271_NB,30,Mean,271,Mean fixed % of annual earnings for short-term disability coverage
32_250_NB,32,Take-up rate,250,Take-up rate of workers w/ access to a short-term disability plan
20_325_NB,20,Percent participation,325,% of ees w/ long-term disability coverage and ee contrib. not req.
20_326_NB,20,Percent participation,326,% of ees w/ long-term disability coverage and ee contrib. req.
20_327_NB,20,Percent participation,327,% of ees w/ long-term disability coverage: Fixed % of annual earnings payment method
20_330_NB,20,Percent participation,330,Access to a fixed % of annual earnings long-term disability coverage less than 60 %
20_331_NB,20,Percent participation,331,Access to a fixed % of annual earnings long-term disability coverage equal to 60 %
20_332_NB,20,Percent participation,332,Access to a fixed % of annual earnings long-term disability coverage between 61 and 66 %
20_333_NB,20,Percent participation,333,Access to a fixed % of annual earnings long-term disability coverage equal to 67 %
20_334_NB,20,Percent participation,334,Access to a fixed % of annual earnings long-term disability coverage greater than 67 %
20_335_NB,20,Percent participation,335,Access to a maximum benefit amount for fixed % of annual earnings long-term disability coverage
20_341_NB,20,Percent participation,341,Access to no maximum benefit amount for fixed % of annual earnings long-term disability coverage
20_342_NB,20,Percent participation,342,% of ees w/ long-term disability coverage: Variable % of annual earnings payment method
20_343_NB,20,Percent participation,343,% of ees w/ long-term disability coverage: Flat dollar amount payment method
20_344_NB,20,Percent participation,344,% of ees w/ long-term disability coverage: Other payment methods
21_336_NB,21,10th percentile,336,Max. mthly ben. amnt for fixed % of annual earnings long-term disability coverage (10th percentile)
22_337_NB,22,25th percentile,337,Max. mthly ben. amnt for fixed % of annual earnings long-term disability coverage (25th percentile)
23_329_NB,23,Median,329,Median fixed % of annual earnings for long-term disability coverage
23_338_NB,23,Median,338,Max. mthly ben. amnt for fixed % of annual earnings long-term disability coverage (50th percentile)
24_339_NB,24,75th percentile,339,Max. mthly ben. amnt for fixed % of annual earnings long-term disability coverage (75th percentile)
25_340_NB,25,90th percentile,340,Max. mthly ben. amnt for fixed % of annual earnings long-term disability coverage (90th percentile)
26_323_NB,26,Percent participation across all workers,323,% of workers participating in a long-term disability plan
28_322_NB,28,Percent with access to benefit - occupation-level,322,Access to a long-term disability plan
30_328_NB,30,Mean,328,Mean fixed % of annual earnings for long-term disability coverage
32_324_NB,32,Take-up rate,324,Take-up rate of workers w/ access to a long-term disability plan
20_298_NB,20,Percent participation,298,% of workers participating in defined benefit plans: Open plans
20_299_NB,20,Percent participation,299,% of workers participating in defined benefit plans: Frozen plans
20_300_NB,20,Percent participation,300,% of workers w/ frozen defined benefit plans: All existing participants to continue benefit accrual
20_301_NB,20,Percent participation,301,% of workers w/ frozen defined benefit plans: Some existing participants to continue benefit accrual
20_302_NB,20,Percent participation,302,% of workers w/ frozen defined benefit plans: No existing participants to continue benefit accrual
20_303_NB,20,Percent participation,303,Time since frozen def. benefit plan closed to new workers or stopped accruing benefits (1 yr)
20_304_NB,20,Percent participation,304,Time since frozen def. benefit plan closed to new workers or stopped accruing benefits (2 - 5 yrs)
20_305_NB,20,Percent participation,305,Time since frozen def. benefit plan closed to new workers or stopped accruing benefits ( > 5 yrs)
20_306_NB,20,Percent participation,306,% of workers w/ frozen defined benefit plans w/ alternatives to frozen plans available
20_307_NB,20,Percent participation,307,% of workers w/ a frozen defined benefit plan: New defined benefit plan alternative
20_308_NB,20,Percent participation,308,% of workers w/ a frozen defined benefit plan: Enhanced existing defined contrib. plan alternative
20_309_NB,20,Percent participation,309,% of workers w/ a frozen defined benefit plan: New defined contrib. plan alternative
20_310_NB,20,Percent participation,310,% of workers w/ a frozen defined benefit plan: Other plan alternative
20_311_NB,20,Percent participation,311,% of workers w/ frozen defined benefit plans w/ no alternatives to frozen plans available
20_387_NB,20,Percent participation,387,% of workers participating in defined benefit plans: All participants still accruing benefits
20_388_NB,20,Percent participation,388,% of workers participating in defined benefit plans: Some participants still accruing benefits
20_389_NB,20,Percent participation,389,% of workers participating in defined benefit plans: Hard freeze
20_390_NB,20,Percent participation,390,% of workers w/ a frozen defined benefit plan: Modified existing defined benefit plan alternative
28_290_NB,28,Percent with access to benefit - occupation-level,290,Access to a defined benefit retirement plan
28_385_NB,28,Percent with access to benefit - occupation-level,385,Access to only defined benefit retirement plans
20_315_NB,20,Percent participation,315,% of workers participating in defined contrib. plans and ee contrib. req.
20_316_NB,20,Percent participation,316,% of workers participating in defined contrib. plans and ee contrib. not req.
20_317_NB,20,Percent participation,317,% of workers participating in defined contrib. plans: ee contrib. (pretax)
20_318_NB,20,Percent participation,318,% of workers participating in defined contrib. plans: ee contrib. (not pretax)
28_312_NB,28,Percent with access to benefit - occupation-level,312,Access to a defined contrib. retirement plan
28_386_NB,28,Percent with access to benefit - occupation-level,386,Access to only defined contribution retirement plans
33_375_NB,33,Access to benefit - plan and occupation-level,375,% of all workers w/ same sex health care benefits
33_376_NB,33,Access to benefit - plan and occupation-level,376,% of all workers w/ opposite sex health care benefits
33_373_NB,33,Access to benefit - plan and occupation-level,373,% of all workers w/ same sex defined benefit retirement survivor benefits
33_374_NB,33,Access to benefit - plan and occupation-level,374,% of all workers w/ opposite sex defined benefit retirement survivor benefits
33_351_NB,33,Access to benefit - plan and occupation-level,351,Access to childcare
33_358_NB,33,Access to benefit - plan and occupation-level,358,Access to retiree health care benefits under age 65
33_359_NB,33,Access to benefit - plan and occupation-level,359,Access to retiree health care benefits at age 65 and over
33_352_NB,33,Access to benefit - plan and occupation-level,352,Access to financial planning
33_353_NB,33,Access to benefit - plan and occupation-level,353,Access to wellness programs
33_354_NB,33,Access to benefit - plan and occupation-level,354,Access to employee assistance programs
33_355_NB,33,Access to benefit - plan and occupation-level,355,Access to subsidized commuting
33_356_NB,33,Access to benefit - plan and occupation-level,356,Access to long-term care insurance
33_357_NB,33,Access to benefit - plan and occupation-level,357,Access to flexible workplace
33_361_NB,33,Access to benefit - plan and occupation-level,361,Access to savings plans w/ no er contributions
33_362_NB,33,Access to benefit - plan and occupation-level,362,Access to flexible benefits
33_363_NB,33,Access to benefit - plan and occupation-level,363,Access to Health care flexible spending account
33_364_NB,33,Access to benefit - plan and occupation-level,364,Access to Dependent care flexible spending account
33_366_NB,33,Access to benefit - plan and occupation-level,366,Access to other stock options
33_367_NB,33,Access to benefit - plan and occupation-level,367,Access to performance stock options
