ESTIMATE_CODE,ESTIMATE TEXT,CATEGORY CODE,CATEGORY,DATATYPE CODE,DATATYPE
1112_OR,"Percent of workers, credentials: license is required, with associated time",90,Credentials: License,1,Percentage
1112_OR,"Percent of workers, credentials: license is required, with associated time",91,Credentials: Educational certificate,1,Percentage
1115_OR,"Days of credentials: certification, mean",89,Credentials: Certification,2,Days
1116_OR,Days of credentials: certification (10th Percentile),89,Credentials: Certification,2,Days
1117_OR,Days of credentials: certification (25th Percentile),89,Credentials: Certification,2,Days
1118_OR,Days of credentials: certification (50th Percentile - median),89,Credentials: Certification,2,Days
1119_OR,Days of credentials: certification (75th Percentile),89,Credentials: Certification,2,Days
111_OR,Days of prior work experience (50th Percentile - median),13,Prior work experience,2,Days
1120_OR,Days of credentials: certification (90th Percentile),89,Credentials: Certification,2,Days
1121_OR,"Days of credentials: license, mean",90,Credentials: License,2,Days
1121_OR,"Days of credentials: license, mean",91,Credentials: Educational certificate,2,Days
1122_OR,Days of credentials: license (10th Percentile),90,Credentials: License,2,Days
1122_OR,Days of credentials: license (10th Percentile),91,Credentials: Educational certificate,2,Days
1123_OR,Days of credentials: license (25th Percentile),90,Credentials: License,2,Days
1123_OR,Days of credentials: license (25th Percentile),91,Credentials: Educational certificate,2,Days
1124_OR,Days of credentials: license (50th Percentile - median),90,Credentials: License,2,Days
1124_OR,Days of credentials: license (50th Percentile - median),91,Credentials: Educational certificate,2,Days
1125_OR,Days of credentials: license (75th Percentile),90,Credentials: License,2,Days
1125_OR,Days of credentials: license (75th Percentile),91,Credentials: Educational certificate,2,Days
1126_OR,Days of credentials: license (90th Percentile),90,Credentials: License,2,Days
1126_OR,Days of credentials: license (90th Percentile),91,Credentials: Educational certificate,2,Days
1127_OR,"Percent of workers, credentials: educational certificate is required, with no associated time",91,Credentials: Educational certificate,1,Percentage
1127_OR,"Percent of workers, credentials: educational certificate is required, with no associated time",90,Credentials: License,1,Percentage
1128_OR,"Percent of workers, credentials: educational certificate is required, with associated time",91,Credentials: Educational certificate,1,Percentage
1128_OR,"Percent of workers, credentials: educational certificate is required, with associated time",90,Credentials: License,1,Percentage
112_OR,Days of prior work experience (75th Percentile),13,Prior work experience,2,Days
1135_OR,"Days of credentials: educational certificate, mean",91,Credentials: Educational certificate,2,Days
1135_OR,"Days of credentials: educational certificate, mean",90,Credentials: License,2,Days
1136_OR,Days of credentials: educational certificate (10th Percentile),91,Credentials: Educational certificate,2,Days
1136_OR,Days of credentials: educational certificate (10th Percentile),90,Credentials: License,2,Days
1137_OR,Days of credentials: educational certificate (25th Percentile),91,Credentials: Educational certificate,2,Days
1138_OR,Days of credentials: educational certificate (50th Percentile - median),91,Credentials: Educational certificate,2,Days
1138_OR,Days of credentials: educational certificate (50th Percentile - median),90,Credentials: License,2,Days
1139_OR,Days of credentials: educational certificate (75th Percentile),91,Credentials: Educational certificate,2,Days
1139_OR,Days of credentials: educational certificate (75th Percentile),90,Credentials: License,2,Days
113_OR,Days of prior work experience (90th Percentile),13,Prior work experience,2,Days
1140_OR,Days of credentials: educational certificate (90th Percentile),91,Credentials: Educational certificate,2,Days
1140_OR,Days of credentials: educational certificate (90th Percentile),90,Credentials: License,2,Days
1149_OR,"Percent of workers, supervisory duties are not required",95,Work review: Supervising others,1,Percentage
114_OR,"Percent of workers, prior work experience is not required",13,Prior work experience,1,Percentage
1150_OR,"Percent of workers, supervisory duties are required",95,Work review: Supervising others,1,Percentage
1154_OR,"Percent of workers, work reviewed by supervisor more than once per day",96,Work review: Frequency of work being checked,1,Percentage
1155_OR,"Percent of workers, work reviewed by supervisor once per day",96,Work review: Frequency of work being checked,1,Percentage
1156_OR,"Percent of workers, work reviewed by supervisor less than once per day, but at least once per week",96,Work review: Frequency of work being checked,1,Percentage
1157_OR,"Percent of workers, work reviewed by supervisor less often than weekly",96,Work review: Frequency of work being checked,1,Percentage
1160_OR,"Percent of workers, where supervisor is present",97,Work review: Presence of supervisor,1,Percentage
1161_OR,"Percent of workers, where supervisor is not present",97,Work review: Presence of supervisor,1,Percentage
1164_OR,"Percent of workers, workload is controlled by machinery, equipment, or software",98,Pace: Control of workload,1,Percentage
1165_OR,"Percent of workers, workload is controlled by numerical performance targets",98,Pace: Control of workload,1,Percentage
1166_OR,"Percent of workers, workload is controlled by people",98,Pace: Control of workload,1,Percentage
1167_OR,"Percent of workers, workload is self-paced",98,Pace: Control of workload,1,Percentage
1168_OR,"Percent of workers, workload is controlled by other external source",98,Pace: Control of workload,1,Percentage
116_OR,"Days of on-the-job training, mean",14,On-the-job training,2,Days
1171_OR,"Percent of workers, with consistent, generally fast work pace",99,Pace: Work pace,1,Percentage
1172_OR,"Percent of workers, with consistent, generally slow work pace",99,Pace: Work pace,1,Percentage
1173_OR,"Percent of workers, with varying work pace",99,Pace: Work pace,1,Percentage
1176_OR,"Percent of workers, with the ability to pause work",100,Pace: Pause control,1,Percentage
1177_OR,"Percent of workers, without the ability to pause work",100,Pace: Pause control,1,Percentage
117_OR,Days of on-the-job training (10th Percentile),14,On-the-job training,2,Days
1180_OR,"Percent of workers, required to have verbal interaction constantly, every few minutes",101,Personal contacts: Verbal interactions,1,Percentage
1181_OR,"Percent of workers, required to have verbal interaction not constantly, but more than once per hour",101,Personal contacts: Verbal interactions,1,Percentage
1182_OR,"Percent of workers, required to have verbal interaction not more than once per hour, but more than once per day",101,Personal contacts: Verbal interactions,1,Percentage
1183_OR,"Percent of workers, required to have verbal interaction once per day or less often",101,Personal contacts: Verbal interactions,1,Percentage
1186_OR,"Percent of workers, with basic required people skills",102,Personal contacts: People skills,1,Percentage
1187_OR,"Percent of workers, with more than basic required people skills",102,Personal contacts: People skills,1,Percentage
118_OR,Days of on-the-job training (25th Percentile),14,On-the-job training,2,Days
1190_OR,"Percent of workers, problem solving is required more than once per day",103,Problem solving,1,Percentage
1191_OR,"Percent of workers, problem solving is required once per day",103,Problem solving,1,Percentage
1192_OR,"Percent of workers, problem solving is required not every day, but at least once per week",103,Problem solving,1,Percentage
1193_OR,"Percent of workers, problem solving is required not every week, but at least once per month",103,Problem solving,1,Percentage
1194_OR,"Percent of workers, problem solving is required less often than monthly, including never",103,Problem solving,1,Percentage
1197_OR,"Percent of workers, interaction with general public is required",104,Interaction with general public,1,Percentage
1198_OR,"Percent of workers, interaction with general public is not required",104,Interaction with general public,1,Percentage
119_OR,Days of on-the-job training (50th Percentile - median),14,On-the-job training,2,Days
1201_OR,"Percent of workers, working around crowds is required",105,Working around crowds,1,Percentage
1202_OR,"Percent of workers, working around crowds is not required",105,Working around crowds,1,Percentage
1205_OR,"Percent of workers, with telework available",106,Telework,1,Percentage
1206_OR,"Percent of workers, with telework not available",106,Telework,1,Percentage
1209_OR,"Percent of workers, low postures are not required",107,Low postures,1,Percentage
120_OR,Days of on-the-job training (75th Percentile),14,On-the-job training,2,Days
1210_OR,"Percent of workers, low postures are required, seldom",107,Low postures,1,Percentage
1211_OR,"Percent of workers, low postures are required, occasionally",107,Low postures,1,Percentage
1212_OR,"Percent of workers, low postures are required, frequently",107,Low postures,1,Percentage
1216_OR,"Percent of workers, low postures are required",107,Low postures,1,Percentage
1218_OR,"Percent of workers, crawling is required, worker's choice",108,Crawling,1,Percentage
1219_OR,"Percent of workers, crawling is required",108,Crawling,1,Percentage
121_OR,Days of on-the-job training (90th Percentile),14,On-the-job training,2,Days
1222_OR,"Percent of workers, stooping is required, worker's choice",109,Stooping,1,Percentage
1223_OR,"Percent of workers, stooping is required",109,Stooping,1,Percentage
1226_OR,"Percent of workers, kneeling is required, worker's choice",110,Kneeling,1,Percentage
1227_OR,"Percent of workers, kneeling is required",110,Kneeling,1,Percentage
122_OR,"Percent of workers, on-the-job training is required",14,On-the-job training,1,Percentage
1230_OR,"Percent of workers, crouching is required, worker's choice",111,Crouching,1,Percentage
1231_OR,"Percent of workers, crouching is required",111,Crouching,1,Percentage
1234_OR,"Percent of workers, lifting or carrying > 10 lbs and less than or equal to 25 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
1235_OR,"Percent of workers, lifting or carrying  > 25 lbs and less than or equal to 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
1236_OR,"Percent of workers, lifting or carrying > 50 lbs and less than or equal to 75 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
1237_OR,"Percent of workers, lifting or carrying  > 75 lbs and less than or equal to 100 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
1238_OR,"Percent of workers, lifting or carrying > 10 lbs and less than or equal to 25 lbs is required, occasionally",25,Lifting or carrying: Occasionally,1,Percentage
1239_OR,"Percent of workers, lifting or carrying > 25 lbs and less than or equal to 50 lbs is required, occasionally",25,Lifting or carrying: Occasionally,1,Percentage
123_OR,"Percent of workers, on-the-job training is not required",14,On-the-job training,1,Percentage
1240_OR,"Percent of workers, lifting or carrying > 50 lbs and less than or equal to 75 lbs is required, occasionally",25,Lifting or carrying: Occasionally,1,Percentage
1241_OR,"Percent of workers, lifting or carrying > 75 lbs and less than or equal to 100 lbs is required, occasionally",25,Lifting or carrying: Occasionally,1,Percentage
1242_OR,"Percent of workers, lifting or carrying > 10 lbs and less than or equal to 25 lbs is required, constantly",27,Lifting or carrying: Constantly,1,Percentage
1243_OR,"Percent of workers, lifting or carrying  > 25 lbs is required, constantly",27,Lifting or carrying: Constantly,1,Percentage
1244_OR,"Percent of workers, hearing speech in person is required",112,Hearing requirements: Speech in-person,1,Percentage
1245_OR,"Percent of workers, hearing speech in person is not required",112,Hearing requirements: Speech in-person,1,Percentage
1248_OR,"Percent of workers, hearing other remote speech is required",113,Hearing requirements: Other remote speech,1,Percentage
1249_OR,"Percent of workers, hearing other remote speech is not required",113,Hearing requirements: Other remote speech,1,Percentage
125_OR,"Hours of standing, mean",77,Standing,3,Hours
126_OR,Hours of standing (10th Percentile),77,Standing,3,Hours
127_OR,Hours of standing (25th Percentile),77,Standing,3,Hours
128_OR,Hours of standing (50th Percentile - median),77,Standing,3,Hours
129_OR,Hours of standing (75th Percentile),77,Standing,3,Hours
130_OR,Hours of standing (90th Percentile),77,Standing,3,Hours
132_OR,"Hours of sitting, mean",78,Sitting,3,Hours
133_OR,Hours of sitting (10th Percentile),78,Sitting,3,Hours
134_OR,Hours of sitting (25th Percentile),78,Sitting,3,Hours
135_OR,Hours of sitting (50th Percentile - median),78,Sitting,3,Hours
136_OR,Hours of sitting (75th Percentile),78,Sitting,3,Hours
137_OR,Hours of sitting (90th Percentile),78,Sitting,3,Hours
139_OR,"Percent of workers, choice of sitting or standing is allowed",15,Choice of sitting or standing,1,Percentage
140_OR,"Percent of workers, choice of sitting or standing is not allowed",15,Choice of sitting or standing,1,Percentage
142_OR,"Percent of workers, reaching overhead is not required",16,Reaching overhead,1,Percentage
143_OR,"Percent of workers, reaching overhead is required, seldom",16,Reaching overhead,1,Percentage
144_OR,"Percent of workers, reaching overhead is required, occasionally",16,Reaching overhead,1,Percentage
145_OR,"Percent of workers, reaching overhead is required, frequently",16,Reaching overhead,1,Percentage
156_OR,"Percent of workers, reaching overhead is required, one hand",17,Reaching overhead with one or both hands,1,Percentage
157_OR,"Percent of workers, reaching overhead is required, both hands",17,Reaching overhead with one or both hands,1,Percentage
159_OR,"Percent of workers, reaching at or below the shoulder is not required",18,Reaching at or below the shoulder,1,Percentage
160_OR,"Percent of workers, reaching at or below the shoulder is required, seldom",18,Reaching at or below the shoulder,1,Percentage
161_OR,"Percent of workers, reaching at or below the shoulder is required, occasionally",18,Reaching at or below the shoulder,1,Percentage
162_OR,"Percent of workers, reaching at or below the shoulder is required, frequently",18,Reaching at or below the shoulder,1,Percentage
163_OR,"Percent of workers, reaching at or below the shoulder is required, constantly",18,Reaching at or below the shoulder,1,Percentage
173_OR,"Percent of workers, reaching at or below the shoulder is required, one hand",19,Reaching at or below the shoulder with one or both hands,1,Percentage
174_OR,"Percent of workers, reaching at or below the shoulder is required, both hands",19,Reaching at or below the shoulder with one or both hands,1,Percentage
176_OR,"Percent of workers, keyboarding is not required",20,Keyboarding,1,Percentage
177_OR,"Percent of workers, keyboarding is required, seldom",20,Keyboarding,1,Percentage
178_OR,"Percent of workers, keyboarding is required, occasionally",20,Keyboarding,1,Percentage
179_OR,"Percent of workers, keyboarding is required, frequently",20,Keyboarding,1,Percentage
180_OR,"Percent of workers, keyboarding is required, constantly",20,Keyboarding,1,Percentage
233_OR,"Pounds maximum weight lifted or carried, mean",79,Maximum weight lifted or carried,4,Pounds
234_OR,Pounds maximum weight lifted or carried (10th Percentile),79,Maximum weight lifted or carried,4,Pounds
235_OR,Pounds maximum weight lifted or carried (25th Percentile),79,Maximum weight lifted or carried,4,Pounds
236_OR,Pounds maximum weight lifted or carried (50th Percentile - median),79,Maximum weight lifted or carried,4,Pounds
237_OR,Pounds maximum weight lifted or carried (75th Percentile),79,Maximum weight lifted or carried,4,Pounds
238_OR,Pounds maximum weight lifted or carried (90th Percentile),79,Maximum weight lifted or carried,4,Pounds
239_OR,"Percent of workers, lifting or carrying >1 lb and less than or equal to 10 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
240_OR,"Percent of workers, lifting/carrying > 10 lbs & <= 20 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
240_OR,"% of computer user support specialists; lifting/carrying > 10 lbs & <= 20 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
240_OR,"% of elementary school teachers, except special education; lifting/carrying > 10 lbs & <= 20 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
240_OR,"% of secondary school teachers, except special and career/technical education; lifting/carrying > 10 lbs & <= 20 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
240_OR,"% of teacher assistants; lifting/carrying > 10 lbs & <= 20 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
240_OR,"% of first-line supervisors of food preparation and serving workers; lifting/carrying > 10 lbs & <= 20 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
240_OR,"% of cooks, institution and cafeteria; lifting/carrying > 10 lbs & <= 20 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
240_OR,"% of cooks, restaurant; lifting/carrying > 10 lbs & <= 20 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
240_OR,"% of bartenders; lifting/carrying > 10 lbs & <= 20 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
240_OR,"% of combined food preparation and serving workers, including fast food; lifting/carrying > 10 lbs & <= 20 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
240_OR,"% of waiters and waitresses; lifting/carrying > 10 lbs & <= 20 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
240_OR,"% of food servers, nonrestaurant; lifting/carrying > 10 lbs & <= 20 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
240_OR,"% of dishwashers; lifting/carrying > 10 lbs & <= 20 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
240_OR,"% of janitors and cleaners, except maids and housekeeping cleaners; lifting/carrying > 10 lbs & <= 20 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
240_OR,"% of maids and housekeeping cleaners; lifting/carrying > 10 lbs & <= 20 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
240_OR,"% of recreation workers; lifting/carrying > 10 lbs & <= 20 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
240_OR,"% of first-line supervisors of retail sales workers; lifting/carrying > 10 lbs & <= 20 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
240_OR,"% of cashiers; lifting/carrying > 10 lbs & <= 20 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
240_OR,"% of retail salespersons; lifting/carrying > 10 lbs & <= 20 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
240_OR,"% of sales reps., wholesale and manufacturing, except technical and scientific products; lifting/carrying > 10 lbs & <= 20 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
240_OR,"% of customer service representatives; lifting/carrying > 10 lbs & <= 20 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
240_OR,"% of secretaries and administrative assistants, except legal, medical, and executive; lifting/carrying > 10 lbs & <= 20 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
240_OR,"% of office clerks, general; lifting/carrying > 10 lbs & <= 20 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
240_OR,"% of packers and packagers, hand; lifting/carrying > 10 lbs & <= 20 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"Percent of workers, lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of general and operations managers; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of food service managers; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of computer user support specialists; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of child, family, and school social workers; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of preschool teachers, except special education; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of elementary school teachers, except special education; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of secondary school teachers, except special and career/technical education; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of teacher assistants; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of physical therapists; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of registered nurses; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of radiologic technologists; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of pharmacy technicians; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of psychiatric technicians; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of licensed practical and licensed vocational nurses; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of home health aides; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of psychiatric aides; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of nursing assistants; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of medical assistants; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of medical equipment preparers; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of correctional officers and jailers; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of security guards; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of first-line supervisors of food preparation and serving workers; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of cooks, fast food; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of cooks, institution and cafeteria; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of cooks, restaurant; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of cooks, short order; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of food preparation workers; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of bartenders; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of combined food preparation and serving workers, including fast food; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of waiters and waitresses; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of food servers, nonrestaurant; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of dining room and cafeteria attendants and bartender helpers; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of dishwashers; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of janitors and cleaners, except maids and housekeeping cleaners; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of maids and housekeeping cleaners; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of landscaping and groundskeeping workers; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of nonfarm animal caretakers; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of childcare workers; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of personal care aides; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of fitness trainers and aerobics instructors; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of recreation workers; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of first-line supervisors of retail sales workers; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of cashiers; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of parts salespersons; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of retail salespersons; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of sales reps., wholesale and manufacturing, except technical and scientific products; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of tellers; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of receptionists and information clerks; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of shipping, receiving, and traffic clerks; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of first-line supervisors of construction trades and extraction workers; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of cement masons and concrete finishers; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of construction laborers; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of roofers; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of highway maintenance workers; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of first-line supervisors of mechanics, installers, and repairers; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
241_OR,"% of electrical and electronics repairers, commercial and industrial equipment; lifting/carrying > 20 lbs & <= 50 lbs is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
